,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-1.0,Location.HOME,SACRAMENTO_KINGS,25,0,339,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
1,2016-10-28,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.7,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,250,0,1,0,1,0,0,0,1,1,0,0,0,0.3
2,2016-10-30,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.5999999999999996,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,468,0,1,0,1,0,0,0,3,0,0,0,1,-1.2
3,2016-10-31,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,7,1609,3,6,1,2,0,0,1,5,0,2,0,2,5.4
4,2016-11-02,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,3,1209,1,3,0,1,1,2,0,5,0,3,0,1,3.6
5,2016-11-04,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.6,Location.AWAY,NEW_ORLEANS_PELICANS,18,4,1976,2,6,0,3,0,0,1,7,2,1,2,1,5.0
6,2016-11-06,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.AWAY,LOS_ANGELES_LAKERS,13,0,1187,0,1,0,0,0,0,0,1,0,0,1,1,-1.5
7,2016-11-08,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],42.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,11,1828,3,5,0,0,5,6,5,4,4,5,0,0,18.8
8,2016-11-09,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.7,Location.HOME,DETROIT_PISTONS,8,3,1200,0,4,0,1,3,4,3,3,1,2,0,0,4.7
9,2016-11-12,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.2,Location.HOME,BROOKLYN_NETS,2,9,1119,2,5,0,3,5,5,2,4,2,0,0,1,8.1
10,2016-11-13,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,8,1632,3,5,0,1,2,6,2,6,1,2,1,2,7.1
11,2016-11-16,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.1,Location.AWAY,DENVER_NUGGETS,7,0,1238,0,5,0,3,0,0,2,6,1,0,0,1,-1.8
12,2016-11-18,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.0,Location.AWAY,INDIANA_PACERS,11,7,2335,3,12,0,4,1,2,5,5,0,2,0,0,6.0
13,2016-11-19,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.4,Location.AWAY,PHILADELPHIA_76ERS,22,7,1835,1,3,1,2,4,4,1,6,2,0,0,0,8.8
14,2016-11-21,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.1,Location.AWAY,WASHINGTON_WIZARDS,29,0,1263,0,1,0,0,0,0,2,6,1,1,0,1,2.4
15,2016-11-23,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.9,Location.AWAY,ORLANDO_MAGIC,21,10,1604,4,9,2,4,0,0,1,6,1,1,0,2,6.7
16,2016-11-25,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,1678,1,4,1,2,1,2,1,4,0,0,0,1,1.7
17,2016-11-27,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.1,Location.HOME,DENVER_NUGGETS,7,21,2497,6,10,3,5,6,7,1,7,1,1,0,0,19.3
18,2016-11-30,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.6,Location.HOME,ATLANTA_HAWKS,0,17,1823,6,9,2,3,3,3,1,2,2,0,0,2,13.4
19,2016-12-03,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,9,1703,4,11,1,5,0,0,5,2,2,1,0,0,7.8
20,2016-12-06,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.0,Location.AWAY,UTAH_JAZZ,28,0,1250,0,0,0,0,0,0,0,0,0,1,0,2,-1.8
21,2016-12-07,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.3,Location.HOME,INDIANA_PACERS,11,7,2049,3,12,1,5,0,0,2,2,1,1,0,1,1.7
22,2016-12-09,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.5,Location.AWAY,LOS_ANGELES_LAKERS,13,4,1512,2,4,0,0,0,0,1,4,1,0,0,0,4.2
23,2016-12-11,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.5,Location.HOME,NEW_ORLEANS_PELICANS,18,9,2548,3,11,3,6,0,0,2,8,3,1,2,0,9.2
24,2016-12-13,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.9,Location.HOME,NEW_YORK_KNICKS,19,13,2425,6,13,1,5,0,2,1,6,1,3,1,2,8.4
25,2016-12-15,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.2,Location.HOME,SAN_ANTONIO_SPURS,26,5,1716,2,6,1,4,0,0,0,1,0,0,0,1,-0.7
26,2016-12-17,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,5,1991,2,6,1,2,0,0,1,1,2,2,0,0,5.2
27,2016-12-19,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,4,2131,2,8,0,2,0,0,1,5,1,5,0,1,4.5
28,2016-12-21,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.2,Location.HOME,HOUSTON_ROCKETS,10,10,1879,4,6,2,3,0,0,3,3,2,1,0,1,10.6
29,2016-12-23,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],37.2,Location.HOME,PHILADELPHIA_76ERS,22,15,2101,5,7,3,4,2,2,1,5,0,4,1,0,18.2
30,2016-12-26,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.9,Location.AWAY,HOUSTON_ROCKETS,10,0,1282,0,2,0,0,0,0,2,0,1,2,0,2,0.3
31,2016-12-28,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.7,Location.AWAY,SAN_ANTONIO_SPURS,26,2,942,1,3,0,2,0,0,0,1,1,2,1,3,1.0
32,2016-12-29,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.8,Location.HOME,TORONTO_RAPTORS,27,14,1807,4,7,2,3,4,4,1,3,0,0,0,0,10.3
33,2016-12-31,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.2,Location.AWAY,UTAH_JAZZ,28,6,2098,2,4,2,2,0,0,1,5,0,1,0,0,6.8
34,2017-01-02,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.6,Location.AWAY,LOS_ANGELES_CLIPPERS,12,6,2153,3,8,0,0,0,0,4,9,0,1,1,0,7.6
35,2017-01-03,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.2,Location.HOME,MIAMI_HEAT,15,7,1944,3,5,0,2,1,1,2,4,4,0,0,1,8.3
36,2017-01-05,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.299999999999997,Location.AWAY,DALLAS_MAVERICKS,6,4,2017,2,6,0,1,0,0,5,4,1,1,1,2,4.5
37,2017-01-08,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.8,Location.HOME,CLEVELAND_CAVALIERS,5,10,1704,4,6,0,2,2,2,0,4,2,2,0,2,8.8
38,2017-01-12,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.1,Location.HOME,DALLAS_MAVERICKS,6,2,1564,1,5,0,2,0,0,2,6,1,0,0,1,1.4
39,2017-01-14,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.0,Location.HOME,SAN_ANTONIO_SPURS,26,7,1791,2,7,1,5,2,2,0,5,2,4,0,1,7.6
40,2017-01-16,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.6,Location.HOME,UTAH_JAZZ,28,8,1630,4,6,0,1,0,0,2,11,0,2,0,0,10.9
41,2017-01-19,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.0,Location.AWAY,CLEVELAND_CAVALIERS,5,2,1761,1,5,0,1,0,0,0,5,2,2,0,0,3.0
42,2017-01-21,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.6,Location.AWAY,NEW_YORK_KNICKS,19,15,2167,6,10,2,5,1,2,1,2,2,3,0,3,11.9
43,2017-01-22,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.0,Location.AWAY,TORONTO_RAPTORS,27,11,1923,5,10,0,2,1,2,2,8,0,1,0,1,7.8
44,2017-01-24,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,8,2025,1,3,0,0,6,8,0,6,6,4,1,0,16.2
45,2017-01-26,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.8,Location.AWAY,DENVER_NUGGETS,7,11,2339,4,10,3,4,0,0,1,3,0,1,0,0,6.6
46,2017-01-28,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.9,Location.HOME,DENVER_NUGGETS,7,12,2183,5,10,2,4,0,0,2,5,5,1,0,0,12.4
47,2017-01-30,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.4,Location.HOME,MEMPHIS_GRIZZLIES,14,11,1507,5,7,1,3,0,0,0,2,0,1,0,0,8.5
48,2017-02-01,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.8,Location.HOME,LOS_ANGELES_CLIPPERS,12,10,2026,3,9,2,3,2,2,4,10,2,1,1,0,11.8
49,2017-02-03,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.5,Location.AWAY,SACRAMENTO_KINGS,25,8,1929,2,8,2,4,2,2,1,4,3,1,0,1,7.2
50,2017-02-04,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.3,Location.HOME,MILWAUKEE_BUCKS,16,13,2243,5,7,2,3,1,1,1,3,1,7,0,1,16.4
51,2017-02-06,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,6,1841,3,7,0,3,0,0,1,4,1,2,0,4,0.9
52,2017-02-08,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,6,1806,2,9,0,2,2,2,7,3,0,2,0,1,6.9
53,2017-02-10,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.4,Location.HOME,CHICAGO_BULLS,4,7,2013,2,5,1,3,2,2,1,6,2,3,0,1,9.4
54,2017-02-11,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.2,Location.AWAY,HOUSTON_ROCKETS,10,3,1240,1,4,1,1,0,0,1,5,4,1,1,1,5.1
55,2017-02-13,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.9,Location.HOME,NEW_ORLEANS_PELICANS,18,11,1994,5,11,1,4,0,0,7,10,1,1,0,2,11.3
56,2017-02-15,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.6,Location.HOME,LOS_ANGELES_LAKERS,13,9,1289,3,6,1,2,2,2,1,2,0,0,0,0,6.5
57,2017-02-24,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.5,Location.HOME,BOSTON_CELTICS,1,9,1749,2,5,1,1,4,6,3,7,1,3,0,0,13.0
58,2017-02-26,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.7,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,1246,1,1,0,0,0,0,0,1,1,0,0,0,1.5
59,2017-02-27,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.5,Location.AWAY,NEW_YORK_KNICKS,19,2,1549,1,4,0,0,0,0,3,2,1,2,0,0,4.2
60,2017-03-01,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.5,Location.HOME,WASHINGTON_WIZARDS,29,4,1287,2,3,0,1,0,0,2,3,1,1,1,1,6.0
61,2017-03-03,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.6,Location.AWAY,WASHINGTON_WIZARDS,29,6,1420,3,5,0,0,0,0,1,2,0,1,1,1,4.1
62,2017-03-04,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.3,Location.AWAY,MILWAUKEE_BUCKS,16,9,1729,3,10,2,5,1,2,0,4,1,1,0,0,4.9
63,2017-03-08,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,8,2268,4,7,0,2,0,0,0,6,2,0,1,2,5.4
64,2017-03-10,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.0,Location.AWAY,ATLANTA_HAWKS,0,1,1513,0,3,0,2,1,2,1,4,0,2,0,0,1.6
65,2017-03-11,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.5999999999999996,Location.AWAY,MIAMI_HEAT,15,0,843,0,1,0,0,0,0,0,3,0,0,0,0,-1.0
66,2017-03-13,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.3,Location.HOME,DALLAS_MAVERICKS,6,2,806,1,6,0,3,0,0,0,4,1,1,0,0,1.1
67,2017-03-16,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.1,Location.HOME,OKLAHOMA_CITY_THUNDER,20,6,1088,2,6,1,3,1,2,0,3,1,0,1,1,3.5
68,2017-03-17,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.799999999999997,Location.AWAY,DETROIT_PISTONS,8,8,1635,3,6,2,3,0,0,1,8,2,3,0,0,12.1
69,2017-03-19,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.8,Location.HOME,INDIANA_PACERS,11,9,1555,4,9,1,4,0,0,0,4,2,1,0,1,6.5
70,2017-03-21,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.9,Location.HOME,CHICAGO_BULLS,4,8,2005,3,6,2,4,0,0,2,10,1,1,0,1,8.5
71,2017-03-23,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.9,Location.AWAY,MIAMI_HEAT,15,9,1984,3,8,3,5,0,0,2,5,3,1,0,1,8.4
72,2017-03-25,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.3,Location.AWAY,DALLAS_MAVERICKS,6,9,2050,3,8,1,6,2,2,1,8,3,4,0,1,12.4
73,2017-03-27,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.5,Location.HOME,ORLANDO_MAGIC,21,7,1962,3,5,1,2,0,0,0,5,1,3,1,0,9.8
74,2017-03-29,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.1,Location.HOME,CHARLOTTE_HORNETS,3,6,1362,2,4,2,3,0,0,2,1,1,0,0,2,3.2
75,2017-03-31,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.4,Location.HOME,INDIANA_PACERS,11,8,1609,3,8,2,3,0,0,2,5,0,1,0,1,4.5
76,2017-04-04,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.5,Location.AWAY,INDIANA_PACERS,11,9,1589,4,10,1,3,0,0,2,3,1,1,0,1,5.0
77,2017-04-05,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.5,Location.AWAY,DETROIT_PISTONS,8,9,1683,3,4,3,4,0,0,0,5,1,1,0,1,9.6
78,2017-04-07,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.0,Location.HOME,MIAMI_HEAT,15,0,1625,0,2,0,0,0,0,1,4,0,3,0,0,2.3
79,2017-04-09,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.9,Location.AWAY,NEW_YORK_KNICKS,19,8,1616,2,5,2,5,2,2,0,7,1,1,0,0,7.9
80,2017-04-12,tuckepj01,P.J. Tucker,773,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.9,Location.AWAY,CLEVELAND_CAVALIERS,5,0,369,0,2,0,1,0,0,0,2,1,0,0,0,-0.9
