,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],12.4,Location.HOME,DENVER_NUGGETS,7,2,779,0,1,0,0,2,2,1,1,0,0,3,1,3.4
1,2017-10-20,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],16.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,3,902,1,2,0,0,1,2,2,2,0,0,3,0,5.3
2,2017-10-21,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],11.3,Location.HOME,OKLAHOMA_CITY_THUNDER,20,2,930,1,3,0,0,0,1,2,2,1,0,1,0,2.5
3,2017-10-24,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],19.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,1,1003,0,2,0,0,1,2,1,1,3,0,4,0,3.9
4,2017-10-25,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],5.7,Location.AWAY,PHOENIX_SUNS,23,0,707,0,0,0,0,0,0,0,1,1,0,1,0,0.9
5,2017-10-28,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],6.3,Location.HOME,LOS_ANGELES_LAKERS,13,0,753,0,1,0,0,0,0,2,2,1,0,0,0,1.6
6,2017-10-30,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],12.7,Location.HOME,DALLAS_MAVERICKS,6,0,886,0,1,0,0,0,0,1,0,3,2,1,2,1.2
7,2017-11-01,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],8.4,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,556,0,1,0,0,0,0,1,1,0,1,1,0,1.6
8,2017-11-03,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],9.7,Location.HOME,TORONTO_RAPTORS,27,4,805,2,2,0,0,0,0,1,0,1,1,0,0,5.0
9,2017-11-05,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],20.8,Location.AWAY,HOUSTON_ROCKETS,10,4,1023,2,3,0,0,0,0,3,1,2,0,3,0,8.6
10,2017-11-07,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],19.4,Location.HOME,PHILADELPHIA_76ERS,22,8,737,2,2,0,0,4,4,1,1,0,3,0,0,10.2
11,2017-11-10,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],7.0,Location.HOME,MIAMI_HEAT,15,1,608,0,0,0,0,1,2,0,0,0,0,2,0,1.6
12,2017-11-11,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],6.1,Location.HOME,BROOKLYN_NETS,2,0,744,0,2,0,0,0,0,1,2,1,0,1,2,-2.3
13,2017-11-13,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],16.6,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,1232,1,2,0,0,2,2,1,2,2,0,2,0,6.7
14,2017-11-15,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],8.0,Location.AWAY,NEW_YORK_KNICKS,19,0,830,0,1,0,0,0,0,0,0,0,0,3,1,-0.8
15,2017-11-17,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],6.699999999999999,Location.AWAY,BROOKLYN_NETS,2,0,928,0,1,0,0,0,0,1,0,1,1,1,2,-1.2
16,2017-11-18,udohek01,Ekpe Udoh,777,[<Position.CENTER: 'CENTER'>],20.8,Location.AWAY,ORLANDO_MAGIC,21,4,1106,2,3,0,0,0,0,0,4,2,1,2,0,6.5
