,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-03-10,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,BROOKLYN_NETS,2,0,91,0,0,0,0,0,0,0,0,0,0,0,0,-0.8
1,2017-03-13,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.AWAY,TORONTO_RAPTORS,27,0,189,0,1,0,0,0,0,1,0,0,0,1,0,0.7
2,2017-03-29,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.9,Location.AWAY,NEW_ORLEANS_PELICANS,18,2,165,1,3,0,0,0,0,1,1,1,0,0,0,2.0
3,2017-04-04,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.9,Location.AWAY,SACRAMENTO_KINGS,25,4,1249,2,8,0,3,0,0,1,1,1,1,0,1,0.5
4,2017-04-05,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,68,1,1,0,0,0,0,0,0,0,0,0,0,1.7
5,2017-04-07,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.3,Location.HOME,SAN_ANTONIO_SPURS,26,4,1190,2,9,0,1,0,0,0,4,1,0,2,1,0.8
6,2017-04-09,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.299999999999997,Location.AWAY,PHOENIX_SUNS,23,12,1608,4,8,2,3,2,3,5,4,1,1,0,1,11.8
7,2017-04-11,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.6,Location.HOME,DENVER_NUGGETS,7,5,1178,2,2,1,1,0,0,0,3,4,0,0,0,7.3
8,2017-04-12,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.7,Location.AWAY,MEMPHIS_GRIZZLIES,14,11,1147,4,6,0,1,3,4,0,1,1,0,1,0,9.7
9,2020-03-02,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,ATLANTA_HAWKS,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,2020-03-04,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.AWAY,BROOKLYN_NETS,2,0,321,0,3,0,2,0,0,0,0,0,1,0,0,-1.5
11,2020-03-06,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.AWAY,DALLAS_MAVERICKS,6,4,249,1,4,0,2,2,2,1,0,0,0,0,0,2.3
12,2020-03-07,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,ATLANTA_HAWKS,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,2020-08-09,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,720,2,3,0,0,0,0,0,2,0,0,0,0,3.3
14,2020-08-11,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.HOME,MILWAUKEE_BUCKS,16,3,184,1,1,1,1,0,0,0,0,0,0,0,0,2.7
15,2020-08-13,uthofja01,Jarrod Uthoff,780,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.6,Location.AWAY,BOSTON_CELTICS,1,8,1460,3,7,2,4,0,0,1,2,0,0,0,0,5.2
