,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],45.7,Location.HOME,DETROIT_PISTONS,8,32,2113,10,15,0,0,12,14,6,5,1,0,0,1,28.5
1,2016-10-28,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],30.4,Location.HOME,CLEVELAND_CAVALIERS,5,10,1860,5,15,0,0,0,0,6,11,0,0,1,3,5.9
2,2016-10-31,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],25.299999999999997,Location.HOME,DENVER_NUGGETS,7,12,1836,6,12,0,0,0,0,3,6,1,0,1,2,7.7
3,2016-11-02,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],21.9,Location.AWAY,WASHINGTON_WIZARDS,29,10,1837,4,6,0,0,2,2,0,7,3,0,0,1,8.6
4,2016-11-04,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],25.2,Location.HOME,MIAMI_HEAT,15,5,1676,1,2,0,0,3,4,2,9,0,1,2,2,6.9
5,2016-11-11,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],30.6,Location.AWAY,CHARLOTTE_HORNETS,3,12,1237,5,8,0,0,2,2,2,6,0,2,1,0,13.5
6,2016-11-12,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],25.6,Location.HOME,NEW_YORK_KNICKS,19,13,1343,4,8,0,0,5,6,2,6,0,1,1,3,9.7
7,2016-11-15,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],25.799999999999997,Location.AWAY,CLEVELAND_CAVALIERS,5,14,2069,5,9,0,0,4,4,3,6,2,0,0,2,12.6
8,2016-11-16,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],20.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,12,1099,6,6,0,0,0,0,3,5,0,0,0,1,12.4
9,2016-11-18,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],30.299999999999997,Location.AWAY,DENVER_NUGGETS,7,15,2228,6,9,0,0,3,7,2,7,1,0,1,0,12.8
10,2016-11-20,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],46.6,Location.AWAY,SACRAMENTO_KINGS,25,23,2228,9,18,0,0,5,6,7,6,2,0,2,1,21.3
11,2016-11-21,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],29.1,Location.AWAY,LOS_ANGELES_CLIPPERS,12,15,1768,5,8,0,0,5,5,2,6,1,0,1,0,14.4
12,2016-11-23,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],35.2,Location.AWAY,HOUSTON_ROCKETS,10,15,1837,6,10,0,0,3,4,5,11,2,0,1,5,13.1
13,2016-11-25,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],19.4,Location.AWAY,MILWAUKEE_BUCKS,16,12,1884,6,11,0,0,0,0,3,4,0,0,0,1,7.8
14,2016-11-28,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],33.2,Location.HOME,PHILADELPHIA_76ERS,22,12,1325,6,12,0,0,0,0,3,8,0,1,2,1,11.5
15,2016-11-30,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],12.8,Location.HOME,MEMPHIS_GRIZZLIES,14,6,1372,3,6,0,0,0,0,1,3,0,1,1,4,1.5
16,2016-12-02,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],18.9,Location.HOME,LOS_ANGELES_LAKERS,13,6,1453,2,4,0,0,2,2,1,6,1,0,1,0,6.7
17,2016-12-03,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],12.5,Location.HOME,ATLANTA_HAWKS,0,2,1254,1,4,0,0,0,0,3,2,1,2,0,3,1.2
18,2016-12-05,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],17.5,Location.HOME,CLEVELAND_CAVALIERS,5,4,1521,1,8,0,0,2,2,3,7,1,0,0,0,3.3
19,2016-12-08,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],35.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,20,1722,9,15,0,0,2,2,6,4,1,0,1,1,16.9
20,2016-12-09,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],16.0,Location.AWAY,BOSTON_CELTICS,1,6,1445,3,7,0,0,0,0,2,8,0,0,0,2,3.3
21,2016-12-12,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],25.9,Location.HOME,MILWAUKEE_BUCKS,16,11,1383,4,9,0,0,3,4,4,8,1,0,0,1,9.6
22,2016-12-14,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],36.5,Location.AWAY,PHILADELPHIA_76ERS,22,17,2067,6,11,0,0,5,5,4,6,1,2,1,3,15.1
23,2016-12-16,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],24.2,Location.HOME,ATLANTA_HAWKS,0,11,1553,5,5,0,0,1,2,1,5,2,2,0,3,10.1
24,2016-12-18,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],34.6,Location.AWAY,ORLANDO_MAGIC,21,16,1559,8,15,0,0,0,0,6,7,0,0,1,0,15.3
25,2016-12-20,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],29.8,Location.HOME,BROOKLYN_NETS,2,10,1322,3,8,0,0,4,4,3,11,0,0,1,0,11.3
26,2016-12-23,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],28.4,Location.AWAY,UTAH_JAZZ,28,14,978,5,5,0,0,4,6,0,7,0,1,1,0,13.9
27,2016-12-26,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],35.1,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,12,1622,5,13,0,0,2,2,3,10,1,1,1,0,11.6
28,2016-12-28,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],16.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,7,1283,2,5,0,0,3,3,2,3,0,0,1,0,6.1
29,2016-12-29,valanjo01,Jonas Valančiūnas,781,[<Position.CENTER: 'CENTER'>],20.0,Location.AWAY,PHOENIX_SUNS,23,8,1150,2,4,0,0,4,4,3,7,0,1,0,3,7.0
