,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-01-25,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.1,Location.HOME,PHOENIX_SUNS,23,1,233,0,0,0,0,1,2,0,3,1,1,0,1,2.2
1,2019-02-06,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.4,Location.AWAY,BROOKLYN_NETS,2,0,479,0,3,0,0,0,0,2,5,0,1,1,0,2.5
2,2019-02-11,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,MIAMI_HEAT,15,0,113,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
3,2019-02-22,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,DALLAS_MAVERICKS,6,0,58,0,0,0,0,0,0,1,0,0,0,0,0,0.7
4,2019-02-24,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,163,1,1,0,0,0,2,0,0,0,0,0,0,0.9
5,2019-02-26,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,23,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
6,2019-03-06,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,LOS_ANGELES_LAKERS,13,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2019-03-08,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,2019-03-12,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.7,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,213,1,2,0,1,1,1,0,1,1,0,0,0,2.6
9,2019-03-18,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,BOSTON_CELTICS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,2019-03-22,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,NEW_YORK_KNICKS,19,0,191,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
11,2019-03-24,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.AWAY,INDIANA_PACERS,11,4,561,2,3,0,0,0,0,2,0,0,1,0,2,2.7
12,2019-03-28,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.5999999999999996,Location.AWAY,HOUSTON_ROCKETS,10,0,305,0,2,0,0,0,0,1,2,0,0,0,0,-0.1
13,2019-04-02,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,10,442,4,4,0,0,2,3,0,3,0,1,0,0,9.5
14,2019-04-03,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.7,Location.HOME,SAN_ANTONIO_SPURS,26,0,286,0,1,0,0,0,0,0,1,1,0,0,0,0.3
15,2019-04-07,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.20000000000000018,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,740,0,1,0,0,0,0,1,0,0,1,0,4,-4.2
16,2019-04-09,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.0,Location.AWAY,UTAH_JAZZ,28,4,168,1,1,0,0,2,2,0,0,0,1,0,0,4.7
17,2019-10-31,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.7,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,325,0,0,0,0,0,0,0,1,1,0,0,0,1.0
18,2019-11-05,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.HOME,MIAMI_HEAT,15,0,105,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
19,2019-11-17,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,123,0,0,0,0,0,0,0,1,0,0,0,0,0.3
20,2019-12-31,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.0,Location.AWAY,HOUSTON_ROCKETS,10,2,225,1,1,0,0,0,0,0,0,0,0,0,1,0.3
21,2020-01-22,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2000000000000002,Location.AWAY,HOUSTON_ROCKETS,10,2,471,1,1,0,0,0,0,0,1,0,0,0,2,-0.4
22,2020-01-24,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,258,0,2,0,0,0,0,1,0,0,1,0,0,0.3
23,2020-01-30,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.HOME,UTAH_JAZZ,28,0,228,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
24,2020-02-02,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.2,Location.AWAY,DETROIT_PISTONS,8,4,305,2,2,0,0,0,0,1,0,0,1,1,0,5.0
25,2020-02-04,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,446,1,1,0,0,0,0,1,2,1,1,0,2,1.9
26,2020-02-08,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,2020-02-12,vandeja01,Jarred Vanderbilt,783,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,CHARLOTTE_HORNETS,3,2,240,0,1,0,1,2,2,0,1,0,0,0,0,1.6
