,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,vaughra01,Rashad Vaughn,787,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.HOME,CHARLOTTE_HORNETS,3,2,466,1,3,0,1,0,0,0,1,0,0,0,0,-0.2
1,2016-10-29,vaughra01,Rashad Vaughn,787,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.4,Location.HOME,BROOKLYN_NETS,2,22,1623,8,17,6,12,0,0,0,2,0,0,1,0,13.8
2,2016-10-30,vaughra01,Rashad Vaughn,787,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.2,Location.AWAY,DETROIT_PISTONS,8,5,1339,2,8,1,4,0,0,0,1,0,3,0,1,2.1
3,2016-11-01,vaughra01,Rashad Vaughn,787,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,5,1037,2,4,1,3,0,0,0,1,0,1,1,0,4.6
4,2016-11-03,vaughra01,Rashad Vaughn,787,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,INDIANA_PACERS,11,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2016-11-05,vaughra01,Rashad Vaughn,787,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.6,Location.HOME,SACRAMENTO_KINGS,25,14,1485,5,9,4,8,0,0,0,3,2,0,2,1,11.6
6,2016-11-10,vaughra01,Rashad Vaughn,787,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.4,Location.HOME,NEW_ORLEANS_PELICANS,18,6,903,3,5,0,1,0,0,0,2,0,0,0,0,4.3
7,2016-11-16,vaughra01,Rashad Vaughn,787,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.AWAY,ATLANTA_HAWKS,0,0,838,0,6,0,4,0,0,0,1,0,1,0,0,-2.9
8,2016-11-17,vaughra01,Rashad Vaughn,787,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MIAMI_HEAT,15,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,2016-12-01,vaughra01,Rashad Vaughn,787,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.AWAY,BROOKLYN_NETS,2,0,167,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
