,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],43.3,Location.HOME,MIAMI_HEAT,15,17,2149,7,14,0,0,3,4,5,9,3,2,0,1,17.7
1,2016-10-28,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],30.3,Location.AWAY,DETROIT_PISTONS,8,7,1560,3,12,0,0,1,2,4,10,3,1,0,1,7.3
2,2016-10-29,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],19.299999999999997,Location.AWAY,CLEVELAND_CAVALIERS,5,11,1481,5,8,0,0,1,2,2,7,1,0,0,4,6.4
3,2016-11-01,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],51.8,Location.AWAY,PHILADELPHIA_76ERS,22,24,1885,11,16,0,0,2,3,5,9,4,1,1,1,24.9
4,2016-11-03,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],28.299999999999997,Location.HOME,SACRAMENTO_KINGS,25,10,1738,4,11,0,0,2,6,4,5,3,2,0,3,6.9
5,2016-11-05,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],21.299999999999997,Location.HOME,WASHINGTON_WIZARDS,29,6,1563,3,6,0,0,0,2,2,7,1,0,1,0,6.7
6,2016-11-07,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],28.7,Location.AWAY,CHICAGO_BULLS,4,11,1375,5,8,0,0,1,2,0,6,5,1,0,0,12.5
7,2016-11-09,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],52.8,Location.HOME,MINNESOTA_TIMBERWOLVES,17,24,1827,11,19,1,1,1,2,6,8,6,0,1,0,25.0
8,2016-11-11,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],18.1,Location.HOME,UTAH_JAZZ,28,4,1565,2,12,0,1,0,0,2,6,3,0,0,0,1.3
9,2016-11-13,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],16.9,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,1168,2,10,0,0,0,0,4,3,3,0,0,0,2.0
10,2016-11-14,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],17.9,Location.AWAY,INDIANA_PACERS,11,2,1502,1,10,0,0,0,0,0,12,1,0,1,3,-4.2
11,2016-11-16,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],34.8,Location.HOME,NEW_ORLEANS_PELICANS,18,10,1627,5,12,0,0,0,2,3,11,0,0,3,1,8.9
12,2016-11-19,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],26.9,Location.HOME,DALLAS_MAVERICKS,6,12,1540,5,16,0,1,2,2,1,11,1,0,0,1,6.5
13,2016-11-21,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],24.2,Location.AWAY,MILWAUKEE_BUCKS,16,8,1688,4,12,0,1,0,0,3,8,2,0,1,3,3.6
14,2016-11-23,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],46.8,Location.HOME,PHOENIX_SUNS,23,21,1762,10,15,0,0,1,2,3,11,2,1,1,0,21.8
15,2016-11-25,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],54.4,Location.HOME,WASHINGTON_WIZARDS,29,17,2100,8,16,1,2,0,0,5,12,2,3,3,4,18.6
16,2016-11-27,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],43.7,Location.HOME,MILWAUKEE_BUCKS,16,17,1795,7,15,1,3,2,2,3,13,3,0,1,0,16.5
17,2016-11-29,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],31.0,Location.AWAY,SAN_ANTONIO_SPURS,26,12,1493,6,16,0,1,0,0,3,7,0,2,1,2,6.9
18,2016-12-01,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],39.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,18,1824,6,15,1,3,5,5,2,9,0,0,3,1,14.7
19,2016-12-02,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],37.7,Location.AWAY,PHILADELPHIA_76ERS,22,12,1635,5,9,2,2,0,0,0,11,5,1,1,1,14.0
20,2016-12-04,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],33.6,Location.AWAY,DETROIT_PISTONS,8,16,1681,8,14,0,1,0,0,0,8,2,0,2,1,13.6
21,2016-12-06,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],34.0,Location.AWAY,WASHINGTON_WIZARDS,29,10,1509,4,9,0,2,2,2,3,7,6,1,0,0,13.5
22,2016-12-07,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],29.0,Location.HOME,BOSTON_CELTICS,1,12,1618,5,14,0,2,2,2,1,9,2,2,0,4,6.6
23,2016-12-09,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],19.0,Location.AWAY,CHARLOTTE_HORNETS,3,7,1362,3,10,0,0,1,2,0,5,2,1,0,0,3.5
24,2016-12-16,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],53.0,Location.HOME,BROOKLYN_NETS,2,21,1842,9,19,0,2,3,5,4,6,4,2,3,1,20.2
25,2016-12-18,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],21.299999999999997,Location.HOME,TORONTO_RAPTORS,27,10,1524,5,12,0,0,0,0,5,4,1,0,0,1,7.2
26,2016-12-20,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],46.9,Location.AWAY,MIAMI_HEAT,15,26,2414,11,20,1,1,3,5,1,11,3,0,2,4,17.1
27,2016-12-22,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],27.0,Location.AWAY,NEW_YORK_KNICKS,19,10,1629,4,11,0,1,2,4,3,2,6,1,0,1,8.4
28,2016-12-23,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],27.9,Location.HOME,LOS_ANGELES_LAKERS,13,11,1535,5,11,0,0,1,2,0,7,3,1,1,2,7.6
29,2016-12-26,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],27.299999999999997,Location.HOME,MEMPHIS_GRIZZLIES,14,13,1631,6,11,1,1,0,0,0,9,1,0,1,1,9.6
30,2016-12-28,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],43.0,Location.HOME,CHARLOTTE_HORNETS,3,21,1595,10,13,0,0,1,2,0,5,4,3,1,2,20.3
31,2017-01-01,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],40.7,Location.AWAY,INDIANA_PACERS,11,18,1772,9,18,0,2,0,0,1,10,1,1,2,1,13.2
32,2017-01-02,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],41.1,Location.AWAY,NEW_YORK_KNICKS,19,14,1873,7,11,0,0,0,1,5,8,5,2,0,2,17.7
33,2017-01-04,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],33.2,Location.HOME,ATLANTA_HAWKS,0,10,1820,5,13,0,1,0,0,0,6,6,1,3,5,6.2
34,2017-01-06,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],24.9,Location.HOME,HOUSTON_ROCKETS,10,9,1706,4,15,1,1,0,0,5,7,1,0,1,3,2.9
35,2017-01-08,vucevni01,Nikola Vučević,790,[<Position.CENTER: 'CENTER'>],38.4,Location.AWAY,LOS_ANGELES_LAKERS,13,19,1567,8,17,1,4,2,4,2,5,4,0,2,1,14.8
