,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.7,Location.HOME,BOSTON_CELTICS,1,22,1945,7,18,4,6,4,4,2,4,5,0,1,3,14.4
1,2016-10-29,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.0,Location.HOME,INDIANA_PACERS,11,14,1264,4,7,0,0,6,6,2,3,2,2,0,0,16.0
2,2016-10-31,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.6,Location.AWAY,BROOKLYN_NETS,2,12,1725,5,13,1,3,1,1,0,3,4,3,1,5,6.1
3,2016-11-02,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.2,Location.AWAY,BOSTON_CELTICS,1,15,2119,5,13,0,3,5,6,0,1,4,2,0,0,12.6
4,2016-11-04,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],45.5,Location.HOME,NEW_YORK_KNICKS,19,35,2000,12,20,5,7,6,8,2,8,1,0,0,3,25.3
5,2016-11-05,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.199999999999999,Location.AWAY,INDIANA_PACERS,11,4,1295,1,9,0,2,2,2,0,1,0,1,0,2,-3.4
6,2016-11-07,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.6,Location.HOME,ORLANDO_MAGIC,21,16,1498,7,12,0,2,2,2,1,2,4,2,2,1,15.7
7,2016-11-09,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],45.1,Location.AWAY,ATLANTA_HAWKS,0,25,2038,10,17,2,5,3,4,2,1,3,5,0,3,22.1
8,2016-11-10,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.4,Location.AWAY,MIAMI_HEAT,15,13,1944,5,17,0,4,3,3,1,6,4,1,0,3,6.0
9,2016-11-12,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.4,Location.HOME,WASHINGTON_WIZARDS,29,14,1789,5,17,0,2,4,4,2,0,2,1,1,2,5.8
10,2016-11-15,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.5,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,19,1863,8,18,0,0,3,5,2,3,5,2,0,1,14.8
11,2016-11-17,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.9,Location.AWAY,UTAH_JAZZ,28,18,1988,7,17,0,2,4,4,1,1,1,0,1,1,9.5
12,2016-11-19,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],49.3,Location.AWAY,LOS_ANGELES_CLIPPERS,12,28,2148,9,20,5,9,5,6,3,6,3,1,2,3,21.8
13,2016-11-22,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.6,Location.AWAY,DENVER_NUGGETS,7,22,2079,9,21,2,4,2,2,1,2,2,1,1,0,14.1
14,2016-11-25,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],46.0,Location.AWAY,PHILADELPHIA_76ERS,22,26,1735,11,18,1,3,3,5,1,4,2,3,1,1,22.2
15,2016-11-30,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.799999999999997,Location.HOME,LOS_ANGELES_LAKERS,13,17,1817,7,15,0,1,3,4,1,3,6,2,0,5,10.5
16,2016-12-02,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.0,Location.HOME,CLEVELAND_CAVALIERS,5,24,2195,11,23,1,4,1,2,3,2,4,2,0,4,14.6
17,2016-12-05,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],48.3,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,34,2132,11,23,1,3,11,13,2,2,3,1,2,4,22.8
18,2016-12-06,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.6,Location.AWAY,DETROIT_PISTONS,8,19,2027,5,13,0,2,9,10,0,3,8,1,0,2,15.8
19,2016-12-08,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.5,Location.HOME,SAN_ANTONIO_SPURS,26,20,2045,5,13,1,3,9,13,1,4,5,1,1,3,15.0
20,2016-12-10,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],42.1,Location.HOME,MIAMI_HEAT,15,28,2118,11,24,0,2,6,7,0,3,3,1,2,3,16.8
21,2016-12-13,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,12,1938,4,13,1,3,3,6,1,4,8,2,1,2,10.7
22,2016-12-15,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.6,Location.AWAY,MILWAUKEE_BUCKS,16,20,1988,8,13,0,3,4,6,0,3,6,1,1,4,15.3
23,2016-12-16,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.5,Location.HOME,MILWAUKEE_BUCKS,16,12,1461,5,14,1,2,1,2,0,5,1,1,0,0,7.0
24,2016-12-19,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.8,Location.HOME,DETROIT_PISTONS,8,13,1333,6,10,0,0,1,1,1,3,4,1,0,1,12.8
25,2016-12-21,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.1,Location.HOME,WASHINGTON_WIZARDS,29,19,1934,7,20,0,1,5,6,0,3,3,1,1,1,9.9
26,2016-12-23,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.4,Location.AWAY,CHARLOTTE_HORNETS,3,12,1570,5,16,0,1,2,2,1,6,2,2,0,1,6.9
27,2016-12-25,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],39.6,Location.AWAY,SAN_ANTONIO_SPURS,26,24,1703,9,16,1,3,5,5,2,1,6,1,0,0,22.5
28,2016-12-26,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],42.1,Location.HOME,INDIANA_PACERS,11,21,1950,8,19,0,4,5,5,1,2,5,2,2,2,16.7
29,2016-12-28,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.3,Location.HOME,BROOKLYN_NETS,2,16,1334,5,13,0,1,6,7,2,2,1,0,1,3,8.5
30,2016-12-30,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.9,Location.AWAY,INDIANA_PACERS,11,20,1819,8,18,1,2,3,4,0,2,5,2,0,3,12.5
31,2016-12-31,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.5,Location.HOME,MILWAUKEE_BUCKS,16,8,1501,3,13,1,4,1,2,1,4,5,1,1,3,3.0
32,2017-01-04,wadedw01,Dwyane Wade,793,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.8,Location.AWAY,CLEVELAND_CAVALIERS,5,10,1639,3,9,3,4,1,2,1,3,4,2,0,4,6.5
