,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],40.6,Location.AWAY,ATLANTA_HAWKS,0,12,1817,3,15,0,2,6,7,2,1,10,4,1,5,9.9
1,2016-10-30,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],46.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,22,2206,8,19,1,3,5,5,0,3,13,1,1,5,17.0
2,2016-11-02,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],58.5,Location.HOME,TORONTO_RAPTORS,27,33,2238,13,19,0,3,7,9,1,4,11,3,1,9,27.2
3,2016-11-04,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],46.0,Location.HOME,ATLANTA_HAWKS,0,21,1972,7,17,1,2,6,8,3,7,6,2,0,2,18.3
4,2016-11-07,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],40.5,Location.HOME,HOUSTON_ROCKETS,10,21,2115,9,16,1,2,2,2,1,4,9,2,0,6,16.8
5,2016-11-09,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],31.1,Location.HOME,BOSTON_CELTICS,1,19,1855,6,16,1,3,6,7,0,3,7,0,1,5,10.1
6,2016-11-11,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],37.9,Location.HOME,CLEVELAND_CAVALIERS,5,28,2104,12,24,1,3,3,5,1,1,3,2,1,6,13.8
7,2016-11-16,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],41.8,Location.AWAY,PHILADELPHIA_76ERS,22,27,1436,8,19,1,3,10,12,0,4,6,1,0,2,19.7
8,2016-11-17,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],42.9,Location.HOME,NEW_YORK_KNICKS,19,23,1876,7,15,3,6,6,6,0,2,11,1,0,2,21.4
9,2016-11-19,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],47.8,Location.HOME,MIAMI_HEAT,15,34,2223,12,23,5,6,5,8,2,2,8,0,0,3,24.9
10,2016-11-21,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],64.3,Location.HOME,PHOENIX_SUNS,23,18,2283,6,24,1,5,5,5,2,2,15,4,3,2,19.0
11,2016-11-25,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],54.4,Location.AWAY,ORLANDO_MAGIC,21,26,2323,10,18,1,4,5,6,0,7,10,3,0,4,24.3
12,2016-11-26,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],31.1,Location.HOME,SAN_ANTONIO_SPURS,26,21,2227,8,16,0,1,5,7,0,3,5,1,0,4,12.4
13,2016-11-28,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],42.5,Location.HOME,SACRAMENTO_KINGS,25,19,2552,6,16,1,3,6,6,0,5,11,3,1,11,11.3
14,2016-11-30,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],47.7,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,15,2621,6,20,2,7,1,2,3,3,15,1,1,3,14.8
15,2016-12-02,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],47.9,Location.AWAY,SAN_ANTONIO_SPURS,26,17,2229,8,16,1,1,0,0,0,2,15,3,0,3,19.7
16,2016-12-05,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],50.7,Location.AWAY,BROOKLYN_NETS,2,25,2146,10,19,1,5,4,4,0,1,13,3,0,4,24.1
17,2016-12-06,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],73.8,Location.HOME,ORLANDO_MAGIC,21,52,2538,18,31,5,8,11,14,1,3,8,3,0,4,41.3
18,2016-12-08,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],37.9,Location.HOME,DENVER_NUGGETS,7,15,2281,5,14,0,4,5,6,1,6,5,3,1,5,10.7
19,2016-12-10,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],50.3,Location.HOME,MILWAUKEE_BUCKS,16,24,2323,8,20,1,4,7,8,0,4,11,2,1,4,19.2
20,2016-12-12,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],50.2,Location.AWAY,MIAMI_HEAT,15,30,2277,12,26,1,5,5,6,2,4,8,1,1,5,20.7
21,2016-12-14,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],57.2,Location.HOME,CHARLOTTE_HORNETS,3,25,2172,9,19,0,2,7,8,2,4,10,6,0,8,21.7
22,2016-12-16,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],56.9,Location.HOME,DETROIT_PISTONS,8,29,2094,8,14,4,4,9,12,0,2,11,3,0,0,31.7
23,2016-12-18,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],41.5,Location.HOME,LOS_ANGELES_CLIPPERS,12,18,2184,7,16,0,2,4,8,2,3,11,1,1,5,13.9
24,2016-12-19,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],40.8,Location.AWAY,INDIANA_PACERS,11,19,2271,6,14,0,5,7,8,1,3,10,2,0,4,16.6
25,2016-12-21,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],50.7,Location.AWAY,CHICAGO_BULLS,4,23,2153,9,14,0,2,5,7,0,6,9,3,0,2,24.3
26,2016-12-23,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],37.6,Location.AWAY,MILWAUKEE_BUCKS,16,18,1914,8,18,0,3,2,2,0,3,10,1,0,2,15.5
27,2016-12-26,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],47.6,Location.HOME,MILWAUKEE_BUCKS,16,18,2522,8,19,1,4,1,2,2,1,16,2,1,7,15.3
28,2016-12-28,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],63.7,Location.HOME,INDIANA_PACERS,11,36,2325,11,19,2,3,12,13,2,9,9,2,0,5,32.5
29,2016-12-30,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],51.4,Location.HOME,BROOKLYN_NETS,2,19,1913,7,14,1,4,4,4,0,2,14,4,1,6,20.7
30,2017-01-02,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],43.0,Location.AWAY,HOUSTON_ROCKETS,10,18,2220,8,18,0,2,2,3,1,4,12,2,0,5,14.7
31,2017-01-03,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],51.8,Location.AWAY,DALLAS_MAVERICKS,6,27,2361,10,19,1,3,6,6,0,4,8,3,1,4,24.2
32,2017-01-06,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],49.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,18,2403,8,16,0,1,2,2,0,1,18,2,0,3,21.1
33,2017-01-08,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],28.1,Location.AWAY,MILWAUKEE_BUCKS,16,16,2208,7,15,0,3,2,2,0,3,7,1,0,5,9.7
34,2017-01-10,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],55.2,Location.HOME,CHICAGO_BULLS,4,26,2410,11,21,1,2,3,4,0,6,14,1,1,5,22.8
35,2017-01-11,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],44.9,Location.AWAY,BOSTON_CELTICS,1,9,2323,4,21,0,5,1,2,3,4,11,3,1,1,8.4
36,2017-01-14,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],46.9,Location.HOME,PHILADELPHIA_76ERS,22,25,1802,9,17,3,4,4,5,2,5,7,2,0,3,22.7
37,2017-01-16,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],41.3,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,24,1679,10,17,2,3,2,2,1,3,7,2,0,4,20.6
38,2017-01-18,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],51.9,Location.HOME,MEMPHIS_GRIZZLIES,14,25,2219,7,18,1,5,10,10,1,1,13,2,1,4,23.2
39,2017-01-19,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],61.5,Location.AWAY,NEW_YORK_KNICKS,19,29,2232,11,21,1,3,6,8,0,5,13,3,0,2,28.7
40,2017-01-21,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],44.4,Location.AWAY,DETROIT_PISTONS,8,19,2319,6,15,0,2,7,9,2,5,10,2,0,4,16.8
41,2017-01-23,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],37.3,Location.AWAY,CHARLOTTE_HORNETS,3,24,2278,9,20,0,1,6,7,0,4,7,1,0,5,14.5
42,2017-01-24,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],53.9,Location.HOME,BOSTON_CELTICS,1,27,2263,11,20,1,2,4,5,0,7,7,3,1,4,22.9
43,2017-01-27,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],35.7,Location.AWAY,ATLANTA_HAWKS,0,19,1824,7,17,1,2,4,6,1,5,9,0,0,4,13.6
44,2017-01-29,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],53.7,Location.AWAY,NEW_ORLEANS_PELICANS,18,18,2225,8,19,0,3,2,4,0,1,19,2,1,3,19.6
45,2017-01-31,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],37.3,Location.HOME,NEW_YORK_KNICKS,19,15,2037,6,18,1,2,2,3,2,2,13,0,0,2,12.7
46,2017-02-02,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],59.1,Location.HOME,LOS_ANGELES_LAKERS,13,33,2435,11,23,3,7,8,10,1,2,11,2,1,3,28.4
47,2017-02-04,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],61.099999999999994,Location.HOME,NEW_ORLEANS_PELICANS,18,24,2267,8,19,2,7,6,8,1,2,13,5,1,4,24.8
48,2017-02-06,walljo01,John Wall,799,[<Position.POINT_GUARD: 'POINT GUARD'>],41.8,Location.HOME,CLEVELAND_CAVALIERS,5,22,2668,8,19,0,3,6,6,0,4,12,1,0,6,15.7
