,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-11-06,waltode01,Derrick Walton,800,[<Position.POINT_GUARD: 'POINT GUARD'>],1.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,68,0,0,0,0,0,0,0,1,0,0,0,0,0.3
1,2017-11-19,waltode01,Derrick Walton,800,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.HOME,INDIANA_PACERS,11,2,206,0,1,0,0,2,2,0,0,0,0,0,0,1.3
2,2017-11-28,waltode01,Derrick Walton,800,[<Position.POINT_GUARD: 'POINT GUARD'>],4.2,Location.AWAY,CLEVELAND_CAVALIERS,5,0,193,0,1,0,0,0,0,0,1,0,0,1,0,0.3
3,2017-11-29,waltode01,Derrick Walton,800,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.AWAY,NEW_YORK_KNICKS,19,0,240,0,1,0,1,0,0,0,0,0,1,0,0,0.3
4,2017-12-18,waltode01,Derrick Walton,800,[<Position.POINT_GUARD: 'POINT GUARD'>],4.5,Location.AWAY,ATLANTA_HAWKS,0,3,396,1,2,1,2,0,0,0,0,1,0,0,0,2.3
5,2017-12-20,waltode01,Derrick Walton,800,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.AWAY,BOSTON_CELTICS,1,0,394,0,0,0,0,0,0,0,1,1,0,0,0,1.0
6,2017-12-22,waltode01,Derrick Walton,800,[<Position.POINT_GUARD: 'POINT GUARD'>],16.9,Location.HOME,DALLAS_MAVERICKS,6,7,1436,2,3,1,2,2,2,0,2,5,0,0,0,9.8
7,2017-12-23,waltode01,Derrick Walton,800,[<Position.POINT_GUARD: 'POINT GUARD'>],5.5,Location.HOME,NEW_ORLEANS_PELICANS,18,3,666,1,2,1,1,0,0,0,0,3,0,0,2,2.1
8,2017-12-26,waltode01,Derrick Walton,800,[<Position.POINT_GUARD: 'POINT GUARD'>],6.0,Location.HOME,ORLANDO_MAGIC,21,3,687,1,2,1,2,0,0,0,0,2,0,0,0,2.6
9,2017-12-29,waltode01,Derrick Walton,800,[<Position.POINT_GUARD: 'POINT GUARD'>],14.7,Location.HOME,BROOKLYN_NETS,2,3,1531,1,6,1,3,0,0,0,1,1,2,1,0,2.1
