,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2020-01-08,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,HOUSTON_ROCKETS,10,0,240,0,1,0,1,0,0,0,1,0,0,0,0,-0.8
1,2020-01-12,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.7,Location.AWAY,BROOKLYN_NETS,2,0,809,0,6,0,2,0,0,0,1,3,1,0,0,-0.8
2,2020-01-31,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DETROIT_PISTONS,8,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2020-02-02,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.7,Location.HOME,CHICAGO_BULLS,4,1,192,0,0,0,0,1,2,0,1,1,0,0,0,1.6
4,2020-02-23,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.HOME,INDIANA_PACERS,11,0,216,0,1,0,1,0,0,0,1,1,0,1,0,1.0
5,2020-08-01,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,LOS_ANGELES_LAKERS,13,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2020-08-07,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.4,Location.HOME,BOSTON_CELTICS,1,0,352,0,0,0,0,0,0,0,2,0,0,0,0,0.2
7,2020-08-10,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.8,Location.AWAY,MILWAUKEE_BUCKS,16,4,1287,1,4,0,2,2,2,2,2,0,1,0,1,3.2
8,2020-08-12,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.7,Location.AWAY,PHILADELPHIA_76ERS,22,4,308,1,1,0,0,2,2,0,1,1,1,0,1,4.7
9,2020-08-14,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.2,Location.HOME,DENVER_NUGGETS,7,22,1648,8,13,4,6,2,3,0,6,2,1,0,1,18.1
10,2020-08-21,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,BROOKLYN_NETS,2,0,174,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
11,2020-08-23,watsopa01,Paul Watson,809,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.AWAY,BROOKLYN_NETS,2,2,347,1,1,0,0,0,0,0,0,1,1,0,0,3.4
