,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-03-03,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.4,Location.AWAY,SAN_ANTONIO_SPURS,26,7,774,3,6,1,4,0,0,0,2,0,0,0,0,4.6
1,2018-03-05,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,5,975,2,5,1,4,0,0,0,6,0,0,3,0,4.6
2,2018-03-07,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,ORLANDO_MAGIC,21,0,93,0,2,0,0,0,0,0,0,0,0,0,0,-1.8
3,2018-03-09,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.4,Location.AWAY,DENVER_NUGGETS,7,5,525,2,5,1,3,0,0,0,2,0,0,1,0,2.8
4,2018-03-11,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.HOME,CLEVELAND_CAVALIERS,5,6,728,2,3,2,3,0,0,0,2,0,0,0,0,4.9
5,2018-03-13,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.HOME,DENVER_NUGGETS,7,3,763,1,3,1,3,0,0,0,1,0,0,0,1,-1.0
6,2018-03-14,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.7,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,940,1,6,1,4,2,2,0,1,1,0,0,0,1.0
7,2018-03-16,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.4,Location.HOME,MIAMI_HEAT,15,11,847,3,5,3,3,2,2,0,2,0,0,0,1,7.9
8,2018-03-19,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.8,Location.AWAY,INDIANA_PACERS,11,0,779,0,2,0,2,0,0,0,4,0,0,0,1,-2.0
9,2018-03-22,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.9,Location.AWAY,NEW_ORLEANS_PELICANS,18,6,816,2,5,2,4,0,0,0,2,1,1,0,1,3.4
10,2018-03-24,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,11,1155,4,10,3,7,0,0,0,2,1,2,0,0,8.5
11,2018-03-26,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.8,Location.AWAY,DETROIT_PISTONS,8,4,1024,0,2,0,2,4,4,0,4,0,0,0,0,3.8
12,2018-03-28,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.9,Location.HOME,DALLAS_MAVERICKS,6,5,919,2,3,1,2,0,0,0,2,1,0,0,0,4.6
13,2018-04-06,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,501,0,2,0,0,0,0,0,0,0,0,0,0,-1.8
14,2018-04-08,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.9,Location.HOME,UTAH_JAZZ,28,2,1069,1,5,0,2,0,0,0,2,1,0,0,1,-2.0
15,2018-04-10,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.8,Location.HOME,HOUSTON_ROCKETS,10,3,876,1,6,1,4,0,0,0,4,2,1,1,1,2.1
16,2018-04-11,weartr01,Travis Wear,810,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,884,1,2,0,0,0,0,0,2,0,0,0,0,0.8
