,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-01-27,webbja01,James Webb,812,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,313,0,2,0,1,0,0,0,0,1,0,0,0,-0.7
1,2018-01-30,webbja01,James Webb,812,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.1,Location.AWAY,NEW_YORK_KNICKS,19,0,1291,0,4,0,4,0,0,1,2,1,1,0,0,-1.4
2,2018-01-31,webbja01,James Webb,812,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,PHILADELPHIA_76ERS,22,0,670,0,2,0,2,0,0,0,0,0,0,0,0,-1.8
3,2018-02-02,webbja01,James Webb,812,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.1,Location.HOME,LOS_ANGELES_LAKERS,13,3,741,1,1,1,1,0,0,1,2,1,0,0,0,3.9
4,2018-02-04,webbja01,James Webb,812,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.0,Location.HOME,MILWAUKEE_BUCKS,16,2,895,1,4,0,2,0,0,3,2,0,0,0,1,1.3
5,2018-02-06,webbja01,James Webb,812,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.2,Location.HOME,HOUSTON_ROCKETS,10,6,1097,2,4,2,3,0,0,2,4,0,0,0,1,5.2
6,2018-02-07,webbja01,James Webb,812,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.8,Location.AWAY,DETROIT_PISTONS,8,3,885,1,2,1,2,0,0,0,4,0,0,0,1,1.8
7,2018-02-10,webbja01,James Webb,812,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.HOME,NEW_ORLEANS_PELICANS,18,0,418,0,1,0,1,0,0,0,0,1,0,0,0,-0.4
8,2018-02-12,webbja01,James Webb,812,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,166,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
9,2018-04-11,webbja01,James Webb,812,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.4000000000000004,Location.AWAY,BOSTON_CELTICS,1,2,720,1,3,0,2,0,0,1,1,0,0,0,1,0.3
