,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-02-08,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],5.9,Location.HOME,CHICAGO_BULLS,4,2,406,1,2,0,0,0,0,0,2,1,0,0,0,2.3
1,2017-02-10,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],6.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,4,125,1,1,0,0,2,3,0,0,0,1,0,1,3.3
2,2017-02-11,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,127,0,1,0,0,0,0,0,0,0,0,0,0,-1.1
3,2017-02-13,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],13.7,Location.AWAY,DENVER_NUGGETS,7,2,1452,1,3,0,1,0,0,0,1,3,1,1,0,3.6
4,2017-02-15,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],0.5,Location.HOME,SACRAMENTO_KINGS,25,0,330,0,3,0,1,0,0,0,0,1,0,0,1,-2.4
5,2017-02-23,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,172,0,1,0,0,0,0,0,0,0,0,0,1,-2.1
6,2017-02-25,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],8.2,Location.HOME,BROOKLYN_NETS,2,4,140,2,3,0,1,0,0,0,1,0,1,0,0,4.0
7,2017-03-02,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,PHOENIX_SUNS,23,2,98,0,0,0,0,2,2,0,0,0,0,0,0,2.0
8,2017-03-10,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.HOME,ORLANDO_MAGIC,21,2,403,1,4,0,0,0,0,0,0,2,0,0,0,1.0
9,2017-03-13,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],8.2,Location.HOME,CHICAGO_BULLS,4,4,325,2,2,0,0,0,0,0,1,0,1,0,0,4.7
10,2017-03-15,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],22.0,Location.AWAY,INDIANA_PACERS,11,8,1195,4,7,0,1,0,0,1,4,2,2,0,1,7.4
11,2017-03-18,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],7.4,Location.HOME,WASHINGTON_WIZARDS,29,2,828,1,3,0,0,0,0,1,1,2,0,0,0,2.7
12,2017-03-20,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],19.3,Location.HOME,ATLANTA_HAWKS,0,8,1128,4,5,0,0,0,1,0,4,1,2,0,1,8.6
13,2017-03-22,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],12.4,Location.AWAY,ORLANDO_MAGIC,21,4,907,2,3,0,0,0,0,2,0,2,1,0,0,5.7
14,2017-03-24,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],4.7,Location.HOME,CLEVELAND_CAVALIERS,5,2,562,1,4,0,2,0,0,1,0,1,0,0,0,0.6
15,2017-03-26,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.HOME,PHOENIX_SUNS,23,0,584,0,2,0,0,0,0,1,0,1,1,0,0,0.6
16,2017-03-28,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],6.2,Location.HOME,MILWAUKEE_BUCKS,16,5,404,1,2,0,0,3,4,0,1,0,0,0,0,3.9
17,2017-03-31,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.HOME,DENVER_NUGGETS,7,0,423,0,1,0,0,0,0,1,0,1,0,0,0,0.7
18,2017-04-10,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],12.8,Location.AWAY,MILWAUKEE_BUCKS,16,3,1237,1,4,0,1,1,2,1,3,2,1,0,1,2.8
19,2017-04-11,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],14.0,Location.AWAY,ATLANTA_HAWKS,0,10,1466,3,9,1,3,3,4,0,0,2,1,0,2,3.7
20,2017-11-22,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],0.5,Location.HOME,DENVER_NUGGETS,7,0,493,0,0,0,0,0,0,0,0,1,0,0,1,-0.3
21,2017-11-27,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,BROOKLYN_NETS,2,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,2017-11-29,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],5.4,Location.HOME,INDIANA_PACERS,11,0,142,0,0,0,0,0,0,0,2,0,1,0,0,1.2
23,2017-12-03,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],1.2,Location.AWAY,LOS_ANGELES_LAKERS,13,0,95,0,0,0,0,0,0,0,1,0,0,0,0,0.3
24,2017-12-22,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],8.9,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,983,1,3,0,0,0,0,0,2,1,0,1,0,0.7
25,2017-12-25,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],13.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,1069,0,2,0,1,0,0,0,1,2,2,1,0,1.8
26,2017-12-28,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],11.1,Location.AWAY,BOSTON_CELTICS,1,4,900,1,2,0,0,2,2,1,2,1,1,0,1,5.0
27,2017-12-29,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],12.0,Location.AWAY,WASHINGTON_WIZARDS,29,9,380,3,3,3,3,0,0,0,0,0,2,0,3,7.1
28,2018-01-03,weberbr01,Briante Weber,813,[<Position.POINT_GUARD: 'POINT GUARD'>],8.8,Location.AWAY,ORLANDO_MAGIC,21,2,988,1,4,0,1,0,0,1,3,2,0,0,1,0.8
