,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,westda01,David West,816,[<Position.CENTER: 'CENTER'>],6.4,Location.HOME,SAN_ANTONIO_SPURS,26,2,639,1,2,0,0,0,0,1,1,0,1,1,4,-1.1
1,2016-10-28,westda01,David West,816,[<Position.CENTER: 'CENTER'>],3.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,3,523,1,3,0,0,1,2,1,0,0,0,0,1,-0.2
2,2016-10-30,westda01,David West,816,[<Position.CENTER: 'CENTER'>],7.6,Location.AWAY,PHOENIX_SUNS,23,4,456,2,6,0,1,0,0,1,2,0,0,0,0,1.5
3,2016-11-01,westda01,David West,816,[<Position.CENTER: 'CENTER'>],19.3,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,4,656,2,3,0,0,0,0,0,4,3,1,1,0,7.7
4,2016-11-03,westda01,David West,816,[<Position.CENTER: 'CENTER'>],2.4000000000000004,Location.HOME,OKLAHOMA_CITY_THUNDER,20,2,362,1,2,0,0,0,0,0,2,0,0,0,2,-0.8
5,2016-11-04,westda01,David West,816,[<Position.CENTER: 'CENTER'>],6.7,Location.AWAY,LOS_ANGELES_LAKERS,13,4,347,2,4,0,0,0,0,1,0,1,0,0,0,3.0
6,2016-11-07,westda01,David West,816,[<Position.CENTER: 'CENTER'>],23.8,Location.HOME,NEW_ORLEANS_PELICANS,18,8,844,3,5,0,0,2,2,3,1,2,3,0,1,11.1
7,2016-11-09,westda01,David West,816,[<Position.CENTER: 'CENTER'>],15.100000000000001,Location.HOME,DALLAS_MAVERICKS,6,5,789,2,3,0,0,1,1,2,1,3,0,1,1,7.2
8,2016-11-10,westda01,David West,816,[<Position.CENTER: 'CENTER'>],10.5,Location.AWAY,DENVER_NUGGETS,7,5,799,2,3,0,0,1,2,0,0,1,2,0,2,2.8
9,2016-11-13,westda01,David West,816,[<Position.CENTER: 'CENTER'>],3.7,Location.HOME,PHOENIX_SUNS,23,2,333,1,2,0,0,0,0,0,1,1,0,0,1,1.0
10,2016-11-16,westda01,David West,816,[<Position.CENTER: 'CENTER'>],15.9,Location.AWAY,TORONTO_RAPTORS,27,6,969,3,4,0,0,0,0,0,2,1,1,1,0,7.0
11,2016-11-18,westda01,David West,816,[<Position.CENTER: 'CENTER'>],8.4,Location.AWAY,BOSTON_CELTICS,1,4,809,2,5,0,0,0,0,0,2,0,0,1,1,0.8
12,2016-11-19,westda01,David West,816,[<Position.CENTER: 'CENTER'>],21.9,Location.AWAY,MILWAUKEE_BUCKS,16,7,699,3,4,0,0,1,2,4,3,3,0,1,1,9.3
13,2016-11-21,westda01,David West,816,[<Position.CENTER: 'CENTER'>],16.8,Location.AWAY,INDIANA_PACERS,11,7,876,2,5,0,0,3,3,0,4,2,1,1,4,3.8
14,2016-11-23,westda01,David West,816,[<Position.CENTER: 'CENTER'>],20.0,Location.HOME,LOS_ANGELES_LAKERS,13,3,880,1,3,0,0,1,2,1,4,4,1,1,1,5.5
15,2016-11-25,westda01,David West,816,[<Position.CENTER: 'CENTER'>],9.9,Location.AWAY,LOS_ANGELES_LAKERS,13,2,667,1,1,0,0,0,0,1,1,3,1,0,2,2.2
16,2016-11-26,westda01,David West,816,[<Position.CENTER: 'CENTER'>],8.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,554,1,2,0,0,0,2,1,1,2,1,0,2,1.2
17,2016-11-28,westda01,David West,816,[<Position.CENTER: 'CENTER'>],4.5,Location.HOME,ATLANTA_HAWKS,0,0,530,0,1,0,0,0,0,0,0,1,0,1,0,0.3
18,2016-12-01,westda01,David West,816,[<Position.CENTER: 'CENTER'>],1.4,Location.HOME,HOUSTON_ROCKETS,10,0,198,0,2,0,0,0,0,0,2,0,0,0,1,-2.6
19,2016-12-03,westda01,David West,816,[<Position.CENTER: 'CENTER'>],15.4,Location.HOME,PHOENIX_SUNS,23,10,803,5,6,0,0,0,0,0,2,2,0,0,0,9.4
20,2016-12-05,westda01,David West,816,[<Position.CENTER: 'CENTER'>],16.5,Location.HOME,INDIANA_PACERS,11,4,561,1,3,0,0,2,2,1,4,1,0,2,1,4.9
21,2016-12-07,westda01,David West,816,[<Position.CENTER: 'CENTER'>],12.5,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,672,0,1,0,0,2,2,0,5,3,0,0,0,3.7
22,2016-12-08,westda01,David West,816,[<Position.CENTER: 'CENTER'>],12.9,Location.AWAY,UTAH_JAZZ,28,4,719,2,3,0,0,0,0,0,2,3,0,1,1,3.9
23,2016-12-10,westda01,David West,816,[<Position.CENTER: 'CENTER'>],24.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,9,908,3,3,2,2,1,2,0,3,4,1,2,3,9.6
