,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-02-14,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.9,Location.AWAY,DETROIT_PISTONS,8,15,1004,6,11,3,7,0,0,1,1,1,1,0,1,10.2
1,2018-02-23,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,INDIANA_PACERS,11,0,74,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
2,2018-02-26,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.4,Location.HOME,LOS_ANGELES_LAKERS,13,4,1112,2,6,0,3,0,1,1,1,0,0,0,0,0.8
3,2018-03-09,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.AWAY,INDIANA_PACERS,11,3,806,1,4,1,3,0,0,0,2,0,1,0,0,2.2
4,2018-03-11,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.2,Location.HOME,CHICAGO_BULLS,4,7,826,2,6,2,5,1,1,0,1,0,0,0,0,3.5
5,2018-03-13,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,9,1200,3,4,3,4,0,0,1,4,0,0,0,1,7.9
6,2018-03-15,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,CHARLOTTE_HORNETS,3,0,1005,0,2,0,0,0,0,0,0,0,0,0,0,-2.2
7,2018-03-17,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.0,Location.AWAY,MILWAUKEE_BUCKS,16,7,560,3,6,1,3,0,0,0,0,0,0,0,0,4.0
8,2018-03-20,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.6,Location.AWAY,UTAH_JAZZ,28,6,989,2,5,2,3,0,0,1,7,2,0,1,2,5.8
9,2018-03-22,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.3,Location.AWAY,SACRAMENTO_KINGS,25,6,1571,2,4,2,4,0,2,0,4,1,0,0,1,3.7
10,2018-03-23,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,3,507,1,2,1,1,0,0,0,1,0,0,0,1,1.3
11,2018-03-25,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.AWAY,HOUSTON_ROCKETS,10,0,749,0,4,0,2,0,0,0,1,0,0,0,0,-2.5
12,2018-03-28,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,381,0,3,0,1,0,0,0,0,0,0,0,0,-2.1
13,2018-03-30,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.7,Location.HOME,PHILADELPHIA_76ERS,22,9,1185,3,11,3,8,0,0,0,6,1,1,0,1,4.6
14,2018-04-04,whitean01,Andrew White,817,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.9,Location.HOME,MIAMI_HEAT,15,0,577,0,4,0,4,0,0,0,2,1,0,0,1,-2.9
