,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-23,whiteco01,Coby White,818,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.1,Location.AWAY,CHARLOTTE_HORNETS,3,17,1629,6,13,1,4,4,5,0,3,7,0,0,1,13.9
1,2019-10-25,whiteco01,Coby White,818,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,25,1819,10,16,4,8,1,2,0,6,2,0,0,0,20.2
2,2019-10-26,whiteco01,Coby White,818,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.7,Location.HOME,TORONTO_RAPTORS,27,8,1332,3,14,0,4,2,2,0,6,1,2,0,3,0.1
3,2019-10-28,whiteco01,Coby White,818,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.9,Location.AWAY,NEW_YORK_KNICKS,19,5,964,2,5,1,3,0,0,0,2,3,0,0,0,5.0
4,2019-10-30,whiteco01,Coby White,818,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.7,Location.AWAY,CLEVELAND_CAVALIERS,5,8,1231,3,12,2,7,0,0,1,0,1,2,0,0,3.4
5,2019-11-01,whiteco01,Coby White,818,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.199999999999999,Location.HOME,DETROIT_PISTONS,8,9,1167,4,12,1,6,0,0,1,0,0,0,0,3,-0.1
6,2019-11-03,whiteco01,Coby White,818,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.800000000000001,Location.AWAY,INDIANA_PACERS,11,1,1415,0,6,0,2,1,2,0,4,2,0,0,2,-3.0
7,2019-11-05,whiteco01,Coby White,818,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.0,Location.HOME,LOS_ANGELES_LAKERS,13,18,1410,7,15,1,5,3,3,0,5,4,1,0,2,13.2
8,2019-11-06,whiteco01,Coby White,818,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.9,Location.AWAY,ATLANTA_HAWKS,0,10,1772,3,13,1,7,3,6,0,2,3,0,0,0,3.6
9,2019-11-09,whiteco01,Coby White,818,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.1,Location.HOME,HOUSTON_ROCKETS,10,10,1628,4,16,0,6,2,3,0,3,1,1,0,2,-0.2
