,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],47.3,Location.AWAY,ORLANDO_MAGIC,21,18,1859,9,16,0,0,0,4,4,10,1,0,4,1,15.9
1,2016-10-28,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],40.0,Location.HOME,CHARLOTTE_HORNETS,3,20,1609,8,11,0,0,4,7,5,10,0,0,2,4,16.6
2,2016-10-30,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],63.5,Location.HOME,SAN_ANTONIO_SPURS,26,27,2096,10,15,0,0,7,10,1,14,1,2,4,1,27.9
3,2016-11-01,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],31.200000000000003,Location.HOME,SACRAMENTO_KINGS,25,14,1665,6,13,0,0,2,4,2,9,0,1,2,5,6.0
4,2016-11-04,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],50.7,Location.AWAY,TORONTO_RAPTORS,27,21,2253,10,18,0,0,1,3,5,11,3,2,1,3,18.2
5,2016-11-07,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],23.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,5,1834,2,8,0,0,1,2,1,11,0,0,2,2,2.4
6,2016-11-10,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],53.0,Location.HOME,CHICAGO_BULLS,4,20,2218,8,18,0,0,4,4,8,12,0,1,3,3,18.7
7,2016-11-12,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],38.3,Location.HOME,UTAH_JAZZ,28,15,1964,6,13,0,0,3,6,2,12,1,0,2,1,12.4
8,2016-11-14,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],51.7,Location.AWAY,SAN_ANTONIO_SPURS,26,23,2034,9,11,0,0,5,9,5,11,1,2,2,4,23.0
9,2016-11-15,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],57.0,Location.HOME,ATLANTA_HAWKS,0,19,2281,6,15,0,0,7,8,10,15,2,2,1,4,20.9
10,2016-11-17,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],55.4,Location.HOME,MILWAUKEE_BUCKS,16,12,1766,5,12,0,0,2,4,7,10,0,2,6,1,16.7
11,2016-11-19,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],50.099999999999994,Location.AWAY,WASHINGTON_WIZARDS,29,18,2393,9,14,0,0,0,3,9,9,1,0,3,0,20.8
12,2016-11-21,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],50.6,Location.AWAY,PHILADELPHIA_76ERS,22,32,1969,13,19,0,0,6,8,7,6,0,0,2,3,26.2
13,2016-11-23,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],19.6,Location.AWAY,DETROIT_PISTONS,8,6,1499,3,8,0,0,0,0,1,7,0,1,1,2,3.3
14,2016-11-25,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],24.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,4,1611,1,6,0,0,2,5,4,8,1,0,2,1,2.9
15,2016-11-26,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],37.4,Location.HOME,MEMPHIS_GRIZZLIES,14,15,2059,7,11,0,0,1,4,4,8,0,1,2,1,13.9
16,2016-11-28,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],52.4,Location.HOME,BOSTON_CELTICS,1,25,2215,10,13,0,0,5,10,3,14,2,0,2,2,23.4
17,2016-11-30,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],59.7,Location.AWAY,DENVER_NUGGETS,7,25,1926,11,17,0,0,3,5,4,12,1,1,4,1,25.4
18,2016-12-01,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],24.0,Location.AWAY,UTAH_JAZZ,28,9,2176,4,11,0,0,1,2,2,8,0,1,0,0,6.9
19,2016-12-03,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],62.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,28,2455,12,16,0,0,4,6,3,13,1,0,5,1,29.6
20,2016-12-06,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],53.3,Location.HOME,NEW_YORK_KNICKS,19,23,2255,10,20,0,0,3,9,5,9,1,1,3,0,19.4
21,2016-12-07,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],21.4,Location.AWAY,ATLANTA_HAWKS,0,8,2142,4,12,0,0,0,0,3,9,0,0,1,4,0.7
22,2016-12-09,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],18.4,Location.AWAY,CLEVELAND_CAVALIERS,5,8,1695,4,10,0,0,0,0,6,6,0,0,0,4,3.4
23,2016-12-10,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],44.1,Location.AWAY,CHICAGO_BULLS,4,20,1961,9,19,0,0,2,4,3,5,1,2,3,2,13.9
24,2016-12-12,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],45.2,Location.HOME,WASHINGTON_WIZARDS,29,17,2016,7,14,0,0,3,6,3,13,0,1,2,0,17.2
25,2016-12-14,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],55.4,Location.HOME,INDIANA_PACERS,11,26,2019,10,16,0,0,6,11,6,16,0,0,2,3,23.0
26,2016-12-16,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],42.4,Location.HOME,LOS_ANGELES_CLIPPERS,12,11,1842,5,12,0,0,1,5,2,15,2,2,1,1,10.4
27,2016-12-18,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],49.4,Location.HOME,BOSTON_CELTICS,1,23,2264,9,13,0,0,5,9,2,15,0,0,3,3,19.7
28,2016-12-20,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],67.0,Location.HOME,ORLANDO_MAGIC,21,32,2819,14,22,0,0,4,6,4,11,0,1,5,1,29.0
29,2016-12-22,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],43.6,Location.HOME,LOS_ANGELES_LAKERS,13,23,2237,9,12,0,0,5,6,3,10,0,1,1,1,22.4
30,2016-12-23,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],39.599999999999994,Location.AWAY,NEW_ORLEANS_PELICANS,18,10,2141,4,10,0,0,2,6,7,11,2,0,2,1,11.8
31,2016-12-27,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],25.1,Location.HOME,OKLAHOMA_CITY_THUNDER,20,12,1860,4,11,0,0,4,6,4,4,1,2,0,4,6.2
32,2016-12-29,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],22.0,Location.AWAY,CHARLOTTE_HORNETS,3,8,2084,4,7,0,0,0,0,0,10,0,0,2,4,4.3
33,2016-12-30,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],27.1,Location.AWAY,BOSTON_CELTICS,1,11,1930,5,9,0,0,1,2,0,8,1,1,1,1,10.1
34,2017-01-08,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],34.6,Location.AWAY,LOS_ANGELES_CLIPPERS,12,15,1868,7,12,0,0,1,2,5,8,0,0,2,2,13.5
35,2017-01-10,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],58.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,26,2220,12,17,0,0,2,3,3,17,2,1,2,4,24.3
36,2017-01-13,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],33.8,Location.AWAY,MILWAUKEE_BUCKS,16,19,1888,7,12,0,0,5,6,2,7,2,1,0,2,16.5
37,2017-01-17,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],37.0,Location.HOME,HOUSTON_ROCKETS,10,14,1969,5,8,0,0,4,6,4,11,0,1,1,1,14.8
38,2017-01-19,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],25.6,Location.HOME,DALLAS_MAVERICKS,6,13,1725,6,12,0,0,1,1,1,7,2,1,0,3,8.4
39,2017-01-21,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],42.0,Location.HOME,MILWAUKEE_BUCKS,16,16,1819,7,8,0,0,2,4,2,13,0,1,2,1,17.9
40,2017-01-23,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],34.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,10,2130,4,13,0,0,2,5,4,11,0,2,1,3,5.1
41,2017-01-25,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],11.7,Location.AWAY,BROOKLYN_NETS,2,7,1236,3,10,0,0,1,2,0,1,1,0,1,1,0.7
42,2017-01-28,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],27.4,Location.HOME,DETROIT_PISTONS,8,9,1749,4,9,0,0,1,2,4,8,0,0,2,2,7.7
43,2017-01-30,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],30.799999999999997,Location.HOME,BROOKLYN_NETS,2,12,1808,6,10,0,0,0,0,1,8,0,1,3,4,7.2
44,2017-02-01,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],46.599999999999994,Location.HOME,ATLANTA_HAWKS,0,18,1807,8,13,0,0,2,3,4,14,0,1,2,2,18.7
45,2017-02-04,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],60.0,Location.HOME,PHILADELPHIA_76ERS,22,30,1607,14,17,0,0,2,3,6,14,0,0,3,3,30.4
46,2017-02-06,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],41.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,19,2149,8,14,0,0,3,4,2,11,2,1,1,2,17.0
47,2017-02-08,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],42.2,Location.AWAY,MILWAUKEE_BUCKS,16,23,2044,10,12,0,0,3,6,3,13,0,0,1,3,19.9
48,2017-02-10,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],32.8,Location.AWAY,BROOKLYN_NETS,2,8,1504,3,10,0,0,2,2,3,6,0,1,4,1,7.3
49,2017-02-11,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],36.8,Location.AWAY,PHILADELPHIA_76ERS,22,12,2011,5,11,0,0,2,2,2,17,0,0,1,1,11.3
50,2017-02-13,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],45.3,Location.HOME,ORLANDO_MAGIC,21,12,2133,5,7,0,0,2,3,1,18,1,2,2,3,14.3
51,2017-02-15,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],55.3,Location.AWAY,HOUSTON_ROCKETS,10,23,1884,9,13,0,0,5,8,3,11,1,0,5,1,23.3
52,2017-02-24,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],24.0,Location.AWAY,ATLANTA_HAWKS,0,2,1474,1,9,0,0,0,0,2,8,2,2,1,2,1.2
53,2017-02-25,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],45.4,Location.HOME,INDIANA_PACERS,11,22,2219,6,12,0,0,10,13,7,10,0,1,1,3,21.4
54,2017-02-27,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],45.8,Location.AWAY,DALLAS_MAVERICKS,6,19,2298,9,16,0,0,1,2,7,12,0,1,1,2,18.8
55,2017-03-01,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],44.7,Location.HOME,PHILADELPHIA_76ERS,22,15,1327,6,9,0,0,3,4,3,8,3,1,4,3,17.7
56,2017-03-03,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],38.599999999999994,Location.AWAY,ORLANDO_MAGIC,21,15,2078,5,10,0,0,5,6,1,17,0,0,1,1,14.3
57,2017-03-04,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],37.6,Location.HOME,CLEVELAND_CAVALIERS,5,20,1690,9,14,0,0,2,2,4,9,0,0,1,1,19.0
58,2017-03-06,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],34.7,Location.AWAY,CLEVELAND_CAVALIERS,5,13,2179,4,10,0,0,5,6,2,9,1,1,2,2,11.2
59,2017-03-08,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],45.0,Location.HOME,CHARLOTTE_HORNETS,3,10,2122,4,7,0,0,2,3,5,10,0,2,4,1,16.2
60,2017-03-11,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],40.8,Location.HOME,TORONTO_RAPTORS,27,12,1977,4,8,0,0,4,4,2,12,0,0,4,0,14.6
61,2017-03-12,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],52.2,Location.AWAY,INDIANA_PACERS,11,26,2027,11,21,0,0,4,5,10,11,0,0,1,2,23.5
62,2017-03-15,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],44.4,Location.HOME,NEW_ORLEANS_PELICANS,18,20,2113,9,11,0,0,2,2,4,13,0,1,2,5,18.4
63,2017-03-17,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],48.3,Location.HOME,MINNESOTA_TIMBERWOLVES,17,23,1974,10,11,0,0,3,3,3,11,1,0,3,2,24.3
64,2017-03-19,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],40.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,17,1848,8,15,0,0,1,2,5,5,2,0,3,1,14.8
65,2017-03-21,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],54.3,Location.HOME,PHOENIX_SUNS,23,23,1888,9,18,0,0,5,6,4,10,1,3,2,2,20.9
66,2017-03-23,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],38.8,Location.HOME,TORONTO_RAPTORS,27,16,1815,6,10,0,0,4,5,6,8,2,0,2,3,15.8
67,2017-03-26,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],45.0,Location.AWAY,BOSTON_CELTICS,1,19,1816,8,14,0,0,3,5,9,6,2,1,1,1,21.0
68,2017-03-28,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],31.299999999999997,Location.AWAY,DETROIT_PISTONS,8,17,1803,7,13,0,0,3,4,4,5,1,0,1,1,13.8
69,2017-03-29,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],34.3,Location.AWAY,NEW_YORK_KNICKS,19,11,1701,5,11,0,0,1,1,1,8,1,0,4,1,9.3
70,2017-03-31,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],39.2,Location.HOME,NEW_YORK_KNICKS,19,17,2017,6,9,0,0,5,7,5,11,0,0,2,3,15.9
71,2017-04-02,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],40.2,Location.HOME,DENVER_NUGGETS,7,16,1993,6,12,0,0,4,6,2,9,2,0,3,1,14.6
72,2017-04-05,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],48.0,Location.AWAY,CHARLOTTE_HORNETS,3,13,1883,5,9,0,0,3,3,4,16,0,1,3,1,17.2
73,2017-04-07,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],25.0,Location.AWAY,TORONTO_RAPTORS,27,12,1621,4,14,0,0,4,6,4,6,2,0,0,2,5.0
74,2017-04-08,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],59.4,Location.AWAY,WASHINGTON_WIZARDS,29,30,2247,12,19,0,0,6,9,5,7,2,2,3,3,27.6
75,2017-04-10,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],50.099999999999994,Location.HOME,CLEVELAND_CAVALIERS,5,23,2142,8,14,0,0,7,12,4,14,1,1,1,2,20.2
76,2017-04-12,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],50.599999999999994,Location.HOME,WASHINGTON_WIZARDS,29,24,1858,10,17,0,0,4,6,5,13,0,0,2,1,22.7
77,2017-10-18,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],55.9,Location.AWAY,ORLANDO_MAGIC,21,26,2174,11,17,1,1,3,3,5,17,1,0,1,1,27.1
78,2017-11-01,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],34.3,Location.HOME,CHICAGO_BULLS,4,13,1582,6,11,1,1,0,0,2,12,1,1,0,0,13.6
79,2017-11-03,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],26.6,Location.AWAY,DENVER_NUGGETS,7,13,1439,6,9,0,0,1,2,1,2,0,2,2,2,10.2
80,2017-11-05,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],54.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,21,1887,9,16,0,0,3,3,6,11,1,3,2,3,21.4
81,2017-11-06,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],11.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,3,982,1,9,0,0,1,2,2,4,0,0,1,2,-2.4
82,2017-11-08,whiteha01,Hassan Whiteside,820,[<Position.CENTER: 'CENTER'>],48.5,Location.AWAY,PHOENIX_SUNS,23,23,1685,8,11,0,0,7,12,2,8,1,1,4,3,21.0
