,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.4,Location.AWAY,MEMPHIS_GRIZZLIES,14,25,2069,7,14,1,1,10,14,4,3,0,0,1,2,18.4
1,2016-10-29,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.2,Location.AWAY,SACRAMENTO_KINGS,25,29,2211,10,20,1,5,8,11,0,1,0,1,1,3,16.0
2,2016-11-01,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.6,Location.HOME,MEMPHIS_GRIZZLIES,14,17,1754,6,11,2,2,3,5,1,2,4,0,1,3,11.5
3,2016-11-03,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.1,Location.HOME,DENVER_NUGGETS,7,25,2085,9,18,2,3,5,5,1,2,1,0,0,1,15.8
4,2016-11-05,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.100000000000001,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,7,1607,3,13,0,1,1,2,1,2,1,1,1,3,-1.4
5,2016-11-08,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],47.6,Location.AWAY,BROOKLYN_NETS,2,36,2445,13,29,6,7,4,8,5,3,2,1,0,4,21.3
6,2016-11-09,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40.8,Location.AWAY,ORLANDO_MAGIC,21,29,2315,10,18,2,4,7,9,1,3,6,0,0,2,22.6
7,2016-11-12,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.299999999999997,Location.HOME,LOS_ANGELES_CLIPPERS,12,22,2206,8,24,1,4,5,5,1,3,3,1,0,3,9.7
8,2016-11-13,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],57.3,Location.HOME,LOS_ANGELES_LAKERS,13,47,2466,14,21,2,5,17,22,1,3,3,0,1,2,37.5
9,2016-11-15,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],37.9,Location.HOME,CHARLOTTE_HORNETS,3,29,2536,10,24,3,6,6,9,0,2,3,0,2,4,14.7
10,2016-11-17,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],53.0,Location.HOME,PHILADELPHIA_76ERS,22,35,2298,14,20,3,6,4,4,4,6,4,1,0,3,32.0
11,2016-11-19,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.3,Location.AWAY,MEMPHIS_GRIZZLIES,14,7,1937,2,11,0,3,3,4,0,4,1,0,1,5,-3.1
12,2016-11-21,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.3,Location.HOME,BOSTON_CELTICS,1,14,2365,5,18,0,5,4,6,0,4,1,0,0,2,2.1
13,2016-11-23,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,13,1837,2,19,0,3,9,10,0,0,0,1,0,2,-1.3
14,2016-11-25,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.5,Location.AWAY,PHOENIX_SUNS,23,25,2445,7,18,1,3,10,11,0,5,1,0,0,2,13.8
15,2016-11-26,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,16,2348,6,15,1,6,3,4,0,3,3,1,0,3,8.1
16,2016-11-28,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.4,Location.HOME,UTAH_JAZZ,28,13,2068,6,16,1,2,0,0,0,2,4,0,0,2,3.2
17,2016-11-30,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.4,Location.HOME,NEW_YORK_KNICKS,19,19,2387,8,20,3,4,0,1,2,5,4,1,0,1,12.7
18,2016-12-02,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.6,Location.AWAY,NEW_YORK_KNICKS,19,19,2150,6,14,0,2,7,8,1,2,4,1,0,1,14.1
19,2016-12-03,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],41.2,Location.AWAY,CHARLOTTE_HORNETS,3,29,2225,11,20,2,7,5,5,0,1,4,3,0,4,20.3
20,2016-12-06,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.4,Location.HOME,SAN_ANTONIO_SPURS,26,11,2301,5,12,0,2,1,3,2,5,2,0,0,4,2.5
21,2016-12-08,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.5,Location.AWAY,TORONTO_RAPTORS,27,25,2167,10,19,1,4,4,6,3,2,1,0,0,2,14.3
22,2016-12-09,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.4,Location.HOME,DETROIT_PISTONS,8,16,1603,6,16,1,3,3,4,0,2,0,0,0,1,6.4
23,2016-12-11,wiggian01,Andrew Wiggins,823,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,25,2432,8,14,2,3,7,10,0,5,2,0,0,4,15.3
