,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-28,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.AWAY,DETROIT_PISTONS,8,3,720,1,3,1,2,0,0,0,1,1,0,0,0,1.9
1,2016-10-29,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,CLEVELAND_CAVALIERS,5,0,524,0,2,0,2,0,0,0,0,1,0,0,0,-0.7
2,2016-11-01,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,PHILADELPHIA_76ERS,22,0,232,0,1,0,1,0,0,0,0,1,0,0,0,0.0
3,2016-11-07,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.7,Location.AWAY,CHICAGO_BULLS,4,5,583,1,2,1,2,2,2,0,1,1,0,0,1,4.0
4,2016-11-09,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2016-11-14,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,INDIANA_PACERS,11,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2016-11-29,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.5,Location.AWAY,SAN_ANTONIO_SPURS,26,0,96,0,0,0,0,0,0,0,0,1,0,0,1,-0.3
7,2016-12-02,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.AWAY,PHILADELPHIA_76ERS,22,0,125,0,0,0,0,0,0,1,0,0,0,0,1,-0.3
8,2016-12-07,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,233,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
9,2016-12-09,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.4,Location.AWAY,CHARLOTTE_HORNETS,3,2,508,1,3,0,2,0,0,0,2,2,0,0,0,2.3
10,2016-12-23,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,LOS_ANGELES_LAKERS,13,0,163,0,1,0,1,0,0,0,1,0,0,0,0,-0.8
11,2016-12-26,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.HOME,MEMPHIS_GRIZZLIES,14,0,158,0,0,0,0,0,0,0,1,0,0,0,1,-1.5
12,2016-12-28,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.9,Location.HOME,CHARLOTTE_HORNETS,3,0,348,0,1,0,1,0,0,1,1,1,1,1,0,2.3
13,2017-01-01,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.5,Location.AWAY,INDIANA_PACERS,11,4,264,2,3,0,0,0,0,0,0,1,0,0,0,3.4
14,2017-01-02,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,NEW_YORK_KNICKS,19,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,2017-01-08,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,LOS_ANGELES_LAKERS,13,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,2017-02-25,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.0,Location.HOME,ATLANTA_HAWKS,0,2,153,1,2,0,1,0,0,0,0,0,0,0,1,0.0
17,2017-03-10,wilcocj01,C.J. Wilcox,824,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.AWAY,CHARLOTTE_HORNETS,3,0,512,0,1,0,0,0,0,1,0,1,0,0,0,0.7
