,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-31,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],1.2000000000000002,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,225,1,1,0,0,0,0,0,1,0,0,0,2,0.0
1,2016-11-12,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],2.0,Location.HOME,BROOKLYN_NETS,2,2,92,1,1,0,0,0,0,0,0,0,0,0,0,1.7
2,2016-11-16,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],5.4,Location.AWAY,DENVER_NUGGETS,7,0,247,0,1,0,0,0,2,2,0,0,0,1,0,0.6
3,2016-11-18,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],42.5,Location.AWAY,INDIANA_PACERS,11,15,1531,6,7,0,0,3,4,8,7,1,2,1,1,20.2
4,2016-11-19,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],42.2,Location.AWAY,PHILADELPHIA_76ERS,22,12,1396,5,8,0,0,2,4,4,7,0,2,4,1,14.7
5,2016-11-21,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],14.600000000000001,Location.AWAY,WASHINGTON_WIZARDS,29,5,988,2,3,0,0,1,2,2,6,0,0,1,3,2.2
6,2016-11-27,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,DENVER_NUGGETS,7,0,119,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
7,2016-12-03,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],5.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,269,1,3,0,0,0,2,1,0,0,1,0,1,-0.6
8,2016-12-13,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],2.2,Location.HOME,NEW_YORK_KNICKS,19,1,542,0,0,0,0,1,2,0,1,0,0,0,0,-0.7
9,2016-12-15,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],6.8,Location.HOME,SAN_ANTONIO_SPURS,26,2,413,1,3,0,0,0,0,4,0,0,0,0,0,2.7
10,2016-12-17,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],4.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,146,1,3,0,0,0,0,2,0,0,0,0,0,1.3
11,2016-12-21,willial03,Alan Williams,827,[<Position.CENTER: 'CENTER'>],3.5999999999999996,Location.HOME,HOUSTON_ROCKETS,10,0,139,0,1,0,0,0,0,1,2,0,0,0,0,0.6
