,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-29,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.5,Location.AWAY,NEW_YORK_KNICKS,19,3,556,1,2,1,2,0,2,0,0,1,2,0,0,3.5
1,2016-10-30,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,WASHINGTON_WIZARDS,29,0,36,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
2,2016-11-01,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,14,1786,4,7,0,1,6,7,1,1,1,1,1,3,9.9
3,2016-11-04,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,340,0,0,0,0,0,0,0,0,0,0,0,0,-0.8
4,2016-11-08,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,DENVER_NUGGETS,7,0,248,0,2,0,1,0,0,0,0,0,0,0,0,-1.8
5,2016-11-16,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.5,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,520,1,1,0,0,0,0,0,0,1,1,0,0,3.0
6,2016-11-18,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-1.0,Location.AWAY,DALLAS_MAVERICKS,6,0,107,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
7,2016-11-19,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,140,1,1,0,0,0,0,0,0,0,0,0,0,1.3
8,2016-11-21,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,CHARLOTTE_HORNETS,3,0,251,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
9,2016-11-25,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.2,Location.HOME,MIAMI_HEAT,15,9,1229,4,8,1,1,0,2,1,5,0,1,1,1,6.3
10,2016-11-26,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.6,Location.AWAY,MIAMI_HEAT,15,18,2113,6,12,2,5,4,6,0,3,2,0,0,1,11.3
11,2016-11-28,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.9,Location.HOME,CHARLOTTE_HORNETS,3,9,1870,4,9,0,2,1,3,0,2,3,2,0,2,5.8
12,2016-11-30,willitr02,Troy Williams,840,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.0,Location.AWAY,TORONTO_RAPTORS,27,10,1665,4,11,0,4,2,3,0,0,2,3,0,2,4.3
