,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-28,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,DALLAS_MAVERICKS,6,0,60,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
1,2016-11-02,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.4,Location.AWAY,NEW_YORK_KNICKS,19,0,225,0,3,0,3,0,0,0,2,0,0,0,1,-2.9
2,2016-11-05,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.AWAY,ATLANTA_HAWKS,0,0,96,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
3,2016-12-02,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.AWAY,DENVER_NUGGETS,7,3,243,1,1,1,1,0,0,0,1,0,0,0,0,3.0
4,2016-12-14,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.4,Location.HOME,SACRAMENTO_KINGS,25,7,336,2,2,2,2,1,2,2,0,0,0,0,0,7.4
5,2016-12-21,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,PHOENIX_SUNS,23,0,139,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
6,2016-12-26,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.19999999999999996,Location.HOME,PHOENIX_SUNS,23,0,340,0,3,0,3,0,0,1,0,0,0,0,1,-2.4
7,2016-12-27,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,DALLAS_MAVERICKS,6,0,209,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
8,2016-12-30,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,113,0,0,0,0,0,0,0,1,0,0,1,0,1.0
9,2017-03-10,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.19999999999999996,Location.AWAY,CHICAGO_BULLS,4,0,124,0,0,0,0,0,0,0,1,0,0,0,1,-0.7
10,2017-03-15,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.5,Location.HOME,LOS_ANGELES_LAKERS,13,0,215,0,1,0,1,0,0,0,0,1,2,0,0,2.0
11,2017-03-17,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.9,Location.AWAY,NEW_ORLEANS_PELICANS,18,3,175,1,2,1,1,0,0,1,1,1,1,0,0,4.7
12,2017-04-02,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.AWAY,PHOENIX_SUNS,23,0,277,0,1,0,1,0,0,0,0,0,0,0,1,-2.1
13,2017-04-12,wiltjky01,Kyle Wiltjer,844,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0.0
