,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-07,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.4,Location.HOME,INDIANA_PACERS,11,0,195,0,1,0,1,0,0,0,2,0,0,0,0,-0.1
1,2017-01-31,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.1,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,385,0,1,0,1,0,0,0,3,1,0,1,0,1.6
2,2017-02-01,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,4,404,1,1,0,0,2,2,0,1,0,0,1,0,4.7
3,2017-02-25,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.8,Location.AWAY,SACRAMENTO_KINGS,25,5,599,1,3,0,1,3,4,3,1,0,0,0,1,3.1
4,2017-02-26,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.7,Location.AWAY,LOS_ANGELES_CLIPPERS,12,4,1369,2,4,0,1,0,0,3,3,1,0,0,1,3.5
5,2017-03-02,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,PHOENIX_SUNS,23,0,98,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
6,2017-03-04,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.0,Location.AWAY,DENVER_NUGGETS,7,0,326,0,0,0,0,0,0,0,0,0,1,2,0,2.4
7,2017-03-08,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.AWAY,MIAMI_HEAT,15,0,131,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
8,2017-03-10,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.0,Location.HOME,ORLANDO_MAGIC,21,14,966,5,6,0,0,4,5,3,2,0,2,1,1,14.6
9,2017-03-11,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.0,Location.HOME,NEW_ORLEANS_PELICANS,18,4,770,1,3,0,0,2,2,4,1,0,0,0,2,3.0
10,2017-03-15,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,INDIANA_PACERS,11,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,2017-03-20,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.HOME,ATLANTA_HAWKS,0,0,149,0,0,0,0,0,0,0,0,0,0,1,0,0.7
12,2017-04-11,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.6,Location.AWAY,ATLANTA_HAWKS,0,4,785,2,3,0,0,0,2,1,2,0,0,0,1,1.8
13,2018-10-17,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.AWAY,CHARLOTTE_HORNETS,3,3,297,1,1,1,1,0,0,0,1,0,0,0,0,3.0
14,2018-10-19,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2000000000000002,Location.HOME,INDIANA_PACERS,11,1,348,0,1,0,0,1,2,0,1,0,0,0,1,-1.2
15,2018-10-29,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,TORONTO_RAPTORS,27,2,267,0,2,0,1,2,2,0,1,0,0,0,0,0.5
16,2018-11-16,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.8,Location.HOME,CHICAGO_BULLS,4,2,209,1,4,0,0,0,0,2,2,0,0,0,1,0.6
17,2018-11-21,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,11,642,5,6,1,2,0,0,1,4,2,0,0,0,12.1
18,2018-12-05,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.8,Location.HOME,DETROIT_PISTONS,8,6,443,2,3,0,0,2,2,1,3,0,0,0,0,6.3
19,2019-02-02,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,235,0,2,0,0,0,0,0,0,0,0,0,0,-1.4
20,2019-02-04,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.2,Location.AWAY,BROOKLYN_NETS,2,5,203,1,1,0,0,3,5,0,1,0,0,0,0,4.2
21,2019-02-06,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,WASHINGTON_WIZARDS,29,0,168,0,2,0,0,0,0,0,0,0,0,0,0,-1.4
22,2019-02-09,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,ORLANDO_MAGIC,21,2,266,0,0,0,0,2,2,0,1,0,0,0,0,2.3
23,2019-02-11,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,CHICAGO_BULLS,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,2019-02-25,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.2,Location.AWAY,CHICAGO_BULLS,4,2,183,1,1,0,0,0,2,0,1,0,0,0,1,-0.2
25,2019-03-02,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.AWAY,UTAH_JAZZ,28,3,415,1,2,1,1,0,0,0,1,0,0,0,0,2.3
26,2019-03-24,woodch01,Christian Wood,848,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.7,Location.HOME,HOUSTON_ROCKETS,10,7,498,3,5,1,2,0,0,1,0,1,0,0,0,6.1
