,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-01-30,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.4,Location.AWAY,PHOENIX_SUNS,23,6,307,3,5,0,0,0,0,1,1,0,0,0,0,4.7
1,2017-02-01,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.AWAY,DENVER_NUGGETS,7,2,313,1,2,0,1,0,0,1,1,0,0,0,0,2.0
2,2017-02-04,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,4,1218,2,6,0,0,0,0,4,2,0,2,0,1,3.8
3,2017-02-06,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.6,Location.HOME,SAN_ANTONIO_SPURS,26,9,852,4,4,0,0,1,2,2,1,0,0,3,0,10.0
4,2017-02-08,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.6,Location.HOME,PHOENIX_SUNS,23,5,1231,2,8,0,0,1,4,2,1,0,0,1,0,0.6
5,2017-02-10,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,6,718,3,7,0,0,0,0,0,0,0,0,2,1,2.7
6,2017-02-13,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.3,Location.AWAY,BROOKLYN_NETS,2,17,1253,7,9,0,0,3,3,1,3,1,1,0,1,15.4
7,2017-02-15,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.2,Location.HOME,NEW_ORLEANS_PELICANS,18,6,749,3,3,0,0,0,0,0,1,0,0,0,0,5.4
8,2017-02-28,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.5,Location.HOME,PHOENIX_SUNS,23,9,1013,4,6,0,0,1,2,3,2,1,0,0,0,9.0
9,2017-03-06,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.3,Location.HOME,BROOKLYN_NETS,2,9,1091,4,6,0,0,1,1,0,4,1,0,0,0,7.1
10,2017-03-09,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.4,Location.HOME,LOS_ANGELES_CLIPPERS,12,8,905,4,6,0,0,0,1,0,2,2,2,0,0,8.2
11,2017-03-11,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.3,Location.HOME,ATLANTA_HAWKS,0,10,756,4,6,0,0,2,2,0,4,1,0,0,0,8.9
12,2017-03-13,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.HOME,MILWAUKEE_BUCKS,16,4,665,2,2,0,0,0,0,1,0,0,0,0,0,3.7
13,2017-03-15,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.800000000000001,Location.AWAY,CHICAGO_BULLS,4,4,640,2,3,0,0,0,1,2,2,0,0,0,1,2.1
14,2017-03-16,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.1,Location.AWAY,ATLANTA_HAWKS,0,10,844,3,4,0,0,4,4,3,0,1,0,0,0,10.4
15,2017-03-18,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.HOME,SAN_ANTONIO_SPURS,26,0,343,0,0,0,0,0,0,0,0,0,1,0,0,1.0
16,2017-03-21,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,7,1208,3,3,0,0,1,2,0,2,0,1,1,0,6.8
17,2017-03-23,wrighbr03,Brandan Wright,849,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.6,Location.AWAY,SAN_ANTONIO_SPURS,26,2,439,1,2,0,0,0,0,2,1,0,0,2,0,4.1
