,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,youngjo01,Joe Young,854,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,DALLAS_MAVERICKS,6,0,207,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
1,2016-10-28,youngjo01,Joe Young,854,[<Position.POINT_GUARD: 'POINT GUARD'>],9.9,Location.AWAY,BROOKLYN_NETS,2,6,778,2,6,1,1,1,2,0,2,1,0,0,0,2.7
2,2016-10-29,youngjo01,Joe Young,854,[<Position.POINT_GUARD: 'POINT GUARD'>],17.9,Location.AWAY,CHICAGO_BULLS,4,11,1200,4,7,2,3,1,1,0,2,3,0,0,0,10.4
3,2016-11-03,youngjo01,Joe Young,854,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,MILWAUKEE_BUCKS,16,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,2016-11-05,youngjo01,Joe Young,854,[<Position.POINT_GUARD: 'POINT GUARD'>],5.0,Location.HOME,CHICAGO_BULLS,4,5,160,2,2,0,0,1,2,0,0,0,0,0,0,4.0
5,2016-11-07,youngjo01,Joe Young,854,[<Position.POINT_GUARD: 'POINT GUARD'>],17.4,Location.AWAY,CHARLOTTE_HORNETS,3,9,936,4,10,0,2,1,2,0,2,2,1,0,0,6.2
6,2016-11-12,youngjo01,Joe Young,854,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,70,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
7,2016-11-14,youngjo01,Joe Young,854,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,ORLANDO_MAGIC,21,0,135,0,2,0,0,0,0,0,0,0,0,0,0,-1.4
8,2016-11-16,youngjo01,Joe Young,854,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,CLEVELAND_CAVALIERS,5,0,84,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
9,2016-11-18,youngjo01,Joe Young,854,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.HOME,PHOENIX_SUNS,23,2,170,1,2,0,1,0,0,0,0,0,0,0,0,1.0
