,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,youngth01,Thaddeus Young,856,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.0,Location.HOME,DALLAS_MAVERICKS,6,11,2053,5,10,1,1,0,0,0,5,4,1,0,2,6.9
1,2016-10-28,youngth01,Thaddeus Young,856,[<Position.POWER_FORWARD: 'POWER FORWARD'>],37.9,Location.AWAY,BROOKLYN_NETS,2,19,2134,7,12,2,3,3,4,3,4,3,1,1,0,20.1
2,2016-10-29,youngth01,Thaddeus Young,856,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.5,Location.AWAY,CHICAGO_BULLS,4,10,1591,5,8,0,2,0,0,1,4,3,2,0,1,11.4
3,2016-11-01,youngth01,Thaddeus Young,856,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.7,Location.HOME,LOS_ANGELES_LAKERS,13,14,1693,6,8,2,4,0,0,1,5,3,2,1,0,17.0
4,2016-11-03,youngth01,Thaddeus Young,856,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.8,Location.AWAY,MILWAUKEE_BUCKS,16,9,1666,4,8,0,1,1,2,1,3,0,1,0,2,4.8
5,2016-11-05,youngth01,Thaddeus Young,856,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.5,Location.HOME,CHICAGO_BULLS,4,12,1508,6,10,0,2,0,0,3,2,1,1,1,2,10.1
6,2016-11-07,youngth01,Thaddeus Young,856,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.5,Location.AWAY,CHARLOTTE_HORNETS,3,0,979,0,4,0,0,0,0,0,5,1,0,0,0,-1.8
7,2016-11-09,youngth01,Thaddeus Young,856,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.0,Location.HOME,PHILADELPHIA_76ERS,22,5,2137,2,6,0,1,1,4,1,4,2,3,1,0,7.0
8,2016-11-11,youngth01,Thaddeus Young,856,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.5,Location.AWAY,PHILADELPHIA_76ERS,22,11,2025,4,6,1,2,2,2,1,9,1,1,0,3,10.5
9,2016-11-12,youngth01,Thaddeus Young,856,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.1,Location.HOME,BOSTON_CELTICS,1,10,1419,5,8,0,2,0,2,4,4,3,2,1,1,12.6
