,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],25.1,Location.AWAY,MILWAUKEE_BUCKS,16,15,855,5,6,0,0,5,6,1,2,1,0,2,1,12.8
1,2016-10-28,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],23.1,Location.AWAY,MIAMI_HEAT,15,10,1393,4,8,0,0,2,3,2,1,1,2,1,1,8.9
2,2016-10-29,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],24.299999999999997,Location.HOME,BOSTON_CELTICS,1,7,1270,2,4,0,0,3,6,1,8,1,0,2,1,6.8
3,2016-11-02,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],17.2,Location.HOME,PHILADELPHIA_76ERS,22,13,1584,5,7,0,0,3,6,0,1,0,0,1,0,7.9
4,2016-11-04,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],35.2,Location.AWAY,BROOKLYN_NETS,2,10,1274,3,7,0,0,4,5,2,4,6,2,1,0,13.4
5,2016-11-07,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],19.0,Location.HOME,INDIANA_PACERS,11,13,1355,5,7,0,0,3,3,0,5,0,0,0,0,10.8
6,2016-11-09,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],17.6,Location.HOME,UTAH_JAZZ,28,12,1600,4,7,0,0,4,8,1,2,2,0,0,1,7.6
7,2016-11-11,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],23.4,Location.HOME,TORONTO_RAPTORS,27,12,1589,5,8,0,0,2,4,3,4,0,0,1,0,11.2
8,2016-11-13,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],5.3,Location.AWAY,CLEVELAND_CAVALIERS,5,0,842,0,4,0,0,0,0,2,2,1,0,0,1,-2.7
9,2016-11-15,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],29.299999999999997,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,14,1830,6,9,0,0,2,2,2,7,1,0,1,0,14.2
10,2016-11-18,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],40.1,Location.HOME,ATLANTA_HAWKS,0,23,1884,9,10,0,0,5,7,2,1,1,2,3,3,20.3
11,2016-11-25,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],24.2,Location.AWAY,NEW_YORK_KNICKS,19,15,1409,7,10,0,0,1,4,2,4,2,0,0,1,11.4
12,2016-11-26,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],35.0,Location.HOME,NEW_YORK_KNICKS,19,11,1509,2,7,0,0,7,12,5,5,2,1,2,0,11.7
13,2016-11-28,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],13.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,3,1281,1,3,0,0,1,2,2,6,1,0,0,1,3.0
14,2016-11-29,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],24.0,Location.HOME,DETROIT_PISTONS,8,8,1671,4,6,0,0,0,0,2,8,0,1,1,2,7.7
15,2016-12-01,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],18.9,Location.HOME,DALLAS_MAVERICKS,6,6,1845,3,5,0,0,0,0,1,6,1,0,1,0,6.8
16,2016-12-03,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],34.8,Location.HOME,MINNESOTA_TIMBERWOLVES,17,6,2084,3,7,0,0,0,0,3,6,2,1,4,0,10.2
17,2016-12-05,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],15.899999999999999,Location.AWAY,DALLAS_MAVERICKS,6,12,1425,5,5,0,0,2,2,1,1,1,0,1,3,8.3
18,2016-12-07,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],19.2,Location.HOME,DETROIT_PISTONS,8,9,1931,2,9,0,0,5,7,1,5,0,0,1,0,4.4
19,2016-12-09,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],20.9,Location.HOME,ORLANDO_MAGIC,21,9,1346,4,5,0,0,1,2,4,3,1,1,0,1,10.7
20,2016-12-10,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],31.799999999999997,Location.AWAY,CLEVELAND_CAVALIERS,5,17,1370,7,8,0,0,3,4,3,6,2,2,0,5,14.1
21,2016-12-12,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],22.9,Location.AWAY,INDIANA_PACERS,11,8,1879,4,9,0,0,0,0,1,6,1,0,2,1,5.7
22,2016-12-14,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],21.9,Location.AWAY,WASHINGTON_WIZARDS,29,18,1791,6,7,0,0,6,8,1,1,1,0,1,3,12.1
23,2016-12-16,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],29.5,Location.AWAY,BOSTON_CELTICS,1,2,1627,1,7,0,0,0,0,6,4,1,2,3,1,5.5
24,2016-12-17,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],31.700000000000003,Location.AWAY,ATLANTA_HAWKS,0,16,2181,8,14,0,0,0,0,2,9,1,1,0,2,11.2
25,2016-12-20,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],25.0,Location.HOME,LOS_ANGELES_LAKERS,13,11,1477,4,8,0,0,3,4,2,3,2,2,0,1,10.5
26,2016-12-23,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],35.4,Location.HOME,CHICAGO_BULLS,4,13,1930,5,9,0,0,3,4,5,2,4,1,2,1,16.2
27,2016-12-26,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],31.799999999999997,Location.AWAY,BROOKLYN_NETS,2,15,1722,7,11,0,0,1,2,3,6,2,1,0,0,14.0
28,2016-12-28,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],21.0,Location.AWAY,ORLANDO_MAGIC,21,10,1435,4,6,0,0,2,2,3,2,2,1,0,1,11.5
29,2016-12-29,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],24.4,Location.HOME,MIAMI_HEAT,15,9,1989,3,4,0,0,3,6,2,5,2,1,1,2,9.0
30,2016-12-31,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],13.7,Location.HOME,CLEVELAND_CAVALIERS,5,6,1150,3,3,0,0,0,0,0,1,3,0,1,1,5.6
31,2017-01-07,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],28.299999999999997,Location.AWAY,SAN_ANTONIO_SPURS,26,9,1958,3,5,0,0,3,4,3,6,1,1,2,2,10.5
32,2017-01-13,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],38.5,Location.AWAY,PHILADELPHIA_76ERS,22,16,2155,6,14,0,0,4,4,6,4,1,3,1,3,13.4
33,2017-01-16,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],26.6,Location.AWAY,BOSTON_CELTICS,1,13,1856,5,7,0,0,3,4,5,3,2,0,1,2,13.4
34,2017-01-18,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],19.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,1516,3,7,0,0,0,0,3,7,0,0,1,2,3.6
35,2017-01-20,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],15.100000000000001,Location.HOME,TORONTO_RAPTORS,27,11,1387,4,6,0,0,3,4,2,1,1,0,0,1,8.6
36,2017-01-21,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],30.299999999999997,Location.HOME,BROOKLYN_NETS,2,12,1850,5,7,0,0,2,2,0,9,3,0,1,0,14.2
37,2017-01-23,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],39.8,Location.HOME,WASHINGTON_WIZARDS,29,13,2107,4,7,0,0,5,5,4,5,2,3,2,2,15.4
38,2017-02-09,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],18.3,Location.HOME,HOUSTON_ROCKETS,10,9,1290,4,8,0,0,1,1,2,2,1,2,0,3,5.5
39,2017-02-28,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],13.5,Location.AWAY,LOS_ANGELES_LAKERS,13,6,1102,3,6,0,0,0,4,3,2,1,0,0,0,4.0
40,2017-03-02,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],25.1,Location.AWAY,PHOENIX_SUNS,23,6,1416,3,5,0,0,0,0,3,5,3,2,0,1,9.2
41,2017-03-04,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],26.6,Location.AWAY,DENVER_NUGGETS,7,11,1589,4,10,0,0,3,6,1,7,2,1,0,0,7.6
42,2017-03-06,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],35.2,Location.HOME,INDIANA_PACERS,11,13,2064,5,10,0,1,3,4,5,6,2,2,0,0,15.9
43,2017-03-08,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],20.8,Location.AWAY,MIAMI_HEAT,15,8,2531,4,8,0,0,0,0,2,2,2,0,2,1,6.2
44,2017-03-10,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],17.9,Location.HOME,ORLANDO_MAGIC,21,6,1881,3,4,0,0,0,0,0,7,3,0,0,1,6.4
45,2017-03-11,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],24.799999999999997,Location.HOME,NEW_ORLEANS_PELICANS,18,6,2394,3,7,0,0,0,2,3,6,2,2,0,1,5.8
46,2017-03-13,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],30.4,Location.HOME,CHICAGO_BULLS,4,11,2037,4,10,0,0,3,3,1,6,2,1,2,1,9.7
47,2017-03-15,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],24.3,Location.AWAY,INDIANA_PACERS,11,7,1591,3,8,0,0,1,1,0,4,1,3,1,1,6.4
48,2017-03-18,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],43.0,Location.HOME,WASHINGTON_WIZARDS,29,19,1992,8,10,0,0,3,5,1,4,0,4,2,0,20.5
49,2017-03-20,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],20.0,Location.HOME,ATLANTA_HAWKS,0,8,1309,4,6,0,0,0,2,2,3,0,2,0,0,6.9
50,2017-03-22,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],32.2,Location.AWAY,ORLANDO_MAGIC,21,15,1768,7,10,0,0,1,1,4,2,2,3,0,2,15.0
51,2017-03-24,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],41.7,Location.HOME,CLEVELAND_CAVALIERS,5,15,1929,6,6,0,0,3,7,5,6,3,1,2,0,21.0
52,2017-03-26,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],38.4,Location.HOME,PHOENIX_SUNS,23,16,1919,6,9,0,0,4,5,2,5,2,4,0,1,17.4
53,2017-03-28,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],17.2,Location.HOME,MILWAUKEE_BUCKS,16,8,1757,3,3,0,0,2,2,0,1,0,2,1,1,9.1
54,2017-03-29,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],14.2,Location.AWAY,TORONTO_RAPTORS,27,0,1617,0,3,0,0,0,0,1,5,4,0,1,2,-0.8
55,2017-03-31,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],34.3,Location.HOME,DENVER_NUGGETS,7,8,1849,3,7,0,0,2,3,4,5,3,1,3,1,11.2
56,2017-04-02,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],23.8,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,11,1655,3,7,0,0,5,7,1,3,2,1,1,1,10.2
57,2017-04-04,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],25.5,Location.AWAY,WASHINGTON_WIZARDS,29,10,1908,4,5,0,0,2,2,3,7,1,0,1,1,12.3
58,2017-04-05,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],20.3,Location.HOME,MIAMI_HEAT,15,8,1801,4,12,0,0,0,0,0,4,3,0,1,0,4.0
59,2017-04-08,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],34.8,Location.HOME,BOSTON_CELTICS,1,12,1795,4,5,0,0,4,4,2,7,2,3,0,0,17.2
60,2017-04-10,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],19.7,Location.AWAY,MILWAUKEE_BUCKS,16,9,1643,3,8,0,0,3,3,0,6,1,0,1,1,6.0
61,2017-04-11,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],14.2,Location.AWAY,ATLANTA_HAWKS,0,4,1334,1,3,0,0,2,2,2,4,2,0,0,0,5.1
62,2017-10-18,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],19.799999999999997,Location.AWAY,DETROIT_PISTONS,8,8,1404,3,5,0,0,2,2,1,8,0,0,1,2,6.7
63,2017-10-29,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],15.7,Location.HOME,ORLANDO_MAGIC,21,6,1113,3,7,0,0,0,0,2,4,1,0,1,2,2.7
64,2017-10-30,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],28.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,11,1136,4,7,0,0,3,3,4,4,0,0,3,1,11.2
65,2017-11-01,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],19.1,Location.HOME,MILWAUKEE_BUCKS,16,6,1123,2,5,0,0,2,2,2,6,1,0,1,1,6.5
66,2017-11-03,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],16.8,Location.AWAY,SAN_ANTONIO_SPURS,26,5,969,1,3,0,0,3,6,1,3,0,2,1,2,3.2
67,2017-11-05,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],31.200000000000003,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,16,1332,6,10,0,0,4,7,5,6,0,0,1,1,13.2
68,2017-11-07,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],18.4,Location.AWAY,NEW_YORK_KNICKS,19,7,1031,3,9,0,0,1,2,7,0,0,0,1,0,6.7
69,2017-11-10,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],20.2,Location.AWAY,BOSTON_CELTICS,1,7,1202,2,4,0,0,3,7,5,1,0,0,2,0,7.4
70,2017-11-15,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],14.1,Location.HOME,CLEVELAND_CAVALIERS,5,7,1379,2,5,0,0,3,4,1,2,1,0,1,1,3.6
71,2017-11-17,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],18.8,Location.AWAY,CHICAGO_BULLS,4,3,1210,1,2,0,0,1,2,0,4,2,1,2,1,4.4
72,2017-11-18,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],16.7,Location.HOME,LOS_ANGELES_CLIPPERS,12,5,1100,2,3,0,0,1,1,2,4,1,0,1,0,5.7
73,2017-11-20,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],15.8,Location.HOME,MINNESOTA_TIMBERWOLVES,17,10,1078,4,5,1,1,1,2,1,3,2,0,0,2,8.3
74,2017-11-22,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],8.1,Location.HOME,WASHINGTON_WIZARDS,29,4,944,0,2,0,0,4,4,1,2,1,0,0,1,3.2
75,2017-11-24,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],11.2,Location.AWAY,CLEVELAND_CAVALIERS,5,4,1410,2,6,0,0,0,0,2,4,0,0,0,0,2.4
76,2017-11-25,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],22.9,Location.HOME,SAN_ANTONIO_SPURS,26,8,1349,4,5,0,0,0,0,2,0,1,3,1,1,9.7
77,2017-11-29,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],10.9,Location.AWAY,TORONTO_RAPTORS,27,6,956,0,1,0,0,6,8,1,1,3,0,0,2,4.8
78,2017-12-01,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],29.5,Location.AWAY,MIAMI_HEAT,15,12,1887,4,6,0,0,4,4,4,1,1,2,2,2,13.0
79,2017-12-04,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],16.6,Location.HOME,ORLANDO_MAGIC,21,6,1134,1,3,0,0,4,4,1,2,0,1,2,2,5.2
80,2017-12-06,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],21.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,6,930,3,7,0,0,0,0,4,4,2,0,1,0,8.0
81,2018-02-02,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],11.1,Location.HOME,INDIANA_PACERS,11,5,959,2,6,0,0,1,2,1,2,1,1,0,2,0.6
82,2018-02-04,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],12.6,Location.AWAY,PHOENIX_SUNS,23,7,854,2,2,0,0,3,3,0,3,2,0,0,1,6.1
83,2018-02-05,zelleco01,Cody Zeller,858,[<Position.CENTER: 'CENTER'>],19.5,Location.AWAY,DENVER_NUGGETS,7,8,1021,2,3,0,0,4,4,3,7,1,0,0,2,8.8
