,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],27.3,Location.HOME,BROOKLYN_NETS,2,13,986,6,7,0,0,1,2,2,2,3,0,2,1,13.8
1,2016-10-27,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],18.5,Location.AWAY,CHICAGO_BULLS,4,6,1218,3,9,0,0,0,1,1,4,1,0,2,1,2.3
2,2016-10-29,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],11.3,Location.AWAY,CHARLOTTE_HORNETS,3,2,724,1,1,0,0,0,0,0,4,1,0,1,0,3.1
3,2016-11-02,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],18.8,Location.HOME,CHICAGO_BULLS,4,11,1485,5,11,0,0,1,2,3,1,0,1,0,0,7.1
4,2016-11-03,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],38.0,Location.AWAY,CLEVELAND_CAVALIERS,5,11,1666,5,8,0,0,1,2,3,7,6,0,2,0,15.6
5,2016-11-06,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],20.0,Location.HOME,DENVER_NUGGETS,7,6,1546,3,7,0,0,0,0,0,5,2,1,1,1,3.9
6,2016-11-09,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],12.9,Location.AWAY,WASHINGTON_WIZARDS,29,6,858,3,4,0,0,0,0,1,1,1,0,1,0,6.8
7,2016-11-11,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],21.8,Location.HOME,NEW_YORK_KNICKS,19,11,1249,3,6,0,0,5,7,1,3,0,2,1,3,6.9
8,2016-11-12,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],17.2,Location.AWAY,INDIANA_PACERS,11,7,946,3,6,0,0,1,2,4,2,0,0,1,0,7.7
9,2016-11-14,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],1.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,307,0,2,0,0,0,0,0,0,1,0,0,0,-0.7
10,2016-11-16,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],8.8,Location.HOME,DALLAS_MAVERICKS,6,4,504,2,6,0,0,0,0,2,2,0,0,0,0,2.6
11,2016-11-18,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],14.399999999999999,Location.HOME,GOLDEN_STATE_WARRIORS,9,5,1402,2,6,0,0,1,2,3,4,2,0,0,2,3.5
12,2016-11-19,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],3.2,Location.AWAY,DETROIT_PISTONS,8,2,221,1,3,0,0,0,0,1,0,0,0,0,0,1.0
13,2016-11-21,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],7.1,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,2,521,1,1,0,0,0,0,0,3,1,0,0,0,2.9
14,2016-11-23,zellety01,Tyler Zeller,859,[<Position.CENTER: 'CENTER'>],12.8,Location.AWAY,BROOKLYN_NETS,2,2,472,1,2,0,0,0,0,1,3,0,0,2,0,3.6
