,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-28,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],6.3,Location.AWAY,DETROIT_PISTONS,8,0,481,0,1,0,0,0,0,2,2,1,0,0,0,2.0
1,2016-11-09,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],2.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,189,1,1,0,0,0,1,0,0,0,0,0,0,1.3
2,2016-12-10,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,DENVER_NUGGETS,7,2,400,1,2,0,0,0,0,0,1,0,0,0,0,1.3
3,2016-12-13,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,ATLANTA_HAWKS,0,0,90,0,1,0,0,0,0,1,0,0,0,0,0,0.0
4,2016-12-22,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,NEW_YORK_KNICKS,19,0,69,0,2,0,0,0,0,0,0,0,0,0,0,-1.4
5,2016-12-23,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],4.2,Location.HOME,LOS_ANGELES_LAKERS,13,0,163,0,1,0,0,0,0,0,1,0,1,0,0,0.2
6,2016-12-26,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],6.6,Location.HOME,MEMPHIS_GRIZZLIES,14,0,158,0,0,0,0,0,0,0,3,0,0,1,0,1.6
7,2016-12-28,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],10.8,Location.HOME,CHARLOTTE_HORNETS,3,6,348,3,3,0,0,0,0,1,3,0,0,0,0,6.7
8,2017-02-15,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],2.7,Location.HOME,SAN_ANTONIO_SPURS,26,0,237,0,1,0,0,0,0,0,1,1,0,0,0,-0.1
9,2017-02-25,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,ATLANTA_HAWKS,0,2,135,1,1,0,0,0,0,0,1,0,0,0,0,2.0
10,2017-03-05,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],0.19999999999999996,Location.AWAY,WASHINGTON_WIZARDS,29,0,312,0,1,0,0,0,0,0,1,0,0,0,1,-1.4
11,2017-03-08,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],3.0,Location.HOME,CHICAGO_BULLS,4,0,763,0,3,0,0,0,0,0,0,0,1,0,0,-1.5
12,2017-03-10,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],9.6,Location.AWAY,CHARLOTTE_HORNETS,3,6,1083,2,5,0,0,2,2,1,2,0,0,0,0,2.6
13,2017-03-11,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,CLEVELAND_CAVALIERS,5,0,92,0,0,0,0,0,0,1,0,0,0,0,0,0.7
14,2017-03-16,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],9.5,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,432,1,3,0,0,0,0,2,3,1,0,0,0,2.9
15,2017-03-24,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],11.8,Location.HOME,DETROIT_PISTONS,8,1,354,0,0,0,0,1,2,1,3,0,0,2,0,2.4
16,2017-03-27,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,TORONTO_RAPTORS,27,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,2017-04-06,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],8.3,Location.HOME,BROOKLYN_NETS,2,0,514,0,4,0,0,0,0,2,2,1,0,1,1,-1.2
18,2017-04-12,zimmest01,Stephen Zimmerman,860,[<Position.CENTER: 'CENTER'>],5.2,Location.HOME,DETROIT_PISTONS,8,2,532,1,2,0,0,0,0,0,1,0,0,1,1,-0.2
