,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-21,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],14.8,Location.HOME,ORLANDO_MAGIC,21,4,412,1,1,0,0,2,3,2,2,0,0,2,0,6.7
1,2017-10-28,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],5.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,1,332,0,2,0,0,1,2,0,2,0,0,1,1,-0.9
2,2017-11-01,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,INDIANA_PACERS,11,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2017-11-03,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],5.0,Location.AWAY,WASHINGTON_WIZARDS,29,2,394,1,1,0,0,0,0,0,0,0,0,1,0,2.0
4,2017-11-05,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,ATLANTA_HAWKS,0,0,103,0,1,0,0,0,0,1,0,0,0,0,0,-0.4
5,2017-11-22,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,BROOKLYN_NETS,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2017-11-27,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],1.0,Location.AWAY,PHILADELPHIA_76ERS,22,2,278,1,1,0,0,0,0,0,0,0,0,0,1,0.3
7,2017-11-28,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,MIAMI_HEAT,15,0,91,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
8,2017-12-04,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],5.6,Location.AWAY,CHICAGO_BULLS,4,2,254,0,1,0,0,2,2,1,2,0,0,0,0,2.6
9,2017-12-09,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],2.7,Location.HOME,PHILADELPHIA_76ERS,22,0,278,0,1,0,0,0,0,0,1,1,0,0,0,0.3
10,2017-12-12,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],4.4,Location.HOME,ATLANTA_HAWKS,0,2,154,1,2,0,0,0,0,1,1,0,0,0,0,2.0
11,2018-01-15,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],2.4,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,84,0,0,0,0,0,0,0,2,0,0,0,0,0.6
12,2018-02-09,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,ATLANTA_HAWKS,0,0,70,0,0,0,0,0,0,1,0,0,0,0,0,0.3
13,2018-02-11,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],2.0,Location.AWAY,BOSTON_CELTICS,1,2,201,1,1,0,0,0,0,0,0,0,0,0,0,1.7
14,2018-02-23,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],4.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,2,114,1,1,0,0,0,0,0,0,0,0,1,1,1.4
15,2018-02-25,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,SAN_ANTONIO_SPURS,26,0,61,0,0,0,0,0,0,0,1,0,0,0,0,0.3
16,2018-03-05,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],22.2,Location.HOME,DETROIT_PISTONS,8,6,966,3,3,0,0,0,0,1,5,2,1,1,0,9.2
17,2018-03-07,zizican01,Ante Žižić,862,[<Position.CENTER: 'CENTER'>],7.4,Location.AWAY,DENVER_NUGGETS,7,5,515,2,3,0,0,1,1,1,1,0,0,0,0,3.1
