,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-02,zubaciv01,Ivica Zubac,863,[<Position.CENTER: 'CENTER'>],13.8,Location.AWAY,ATLANTA_HAWKS,0,6,1122,3,4,0,0,0,0,2,2,0,1,0,0,5.8
1,2016-11-04,zubaciv01,Ivica Zubac,863,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,2016-11-13,zubaciv01,Ivica Zubac,863,[<Position.CENTER: 'CENTER'>],2.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,1,454,0,2,0,0,1,2,0,2,0,0,0,1,-2.0
3,2016-12-07,zubaciv01,Ivica Zubac,863,[<Position.CENTER: 'CENTER'>],2.0,Location.AWAY,HOUSTON_ROCKETS,10,2,314,0,2,0,0,2,2,0,0,0,0,0,0,0.6
4,2016-12-12,zubaciv01,Ivica Zubac,863,[<Position.CENTER: 'CENTER'>],-1.0,Location.AWAY,SACRAMENTO_KINGS,25,0,140,0,1,0,0,0,0,0,0,0,0,0,1,-1.7
5,2016-12-20,zubaciv01,Ivica Zubac,863,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,CHARLOTTE_HORNETS,3,0,151,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
6,2016-12-23,zubaciv01,Ivica Zubac,863,[<Position.CENTER: 'CENTER'>],8.9,Location.AWAY,ORLANDO_MAGIC,21,6,1028,2,7,0,0,2,2,1,1,1,0,0,1,2.2
7,2017-01-12,zubaciv01,Ivica Zubac,863,[<Position.CENTER: 'CENTER'>],22.3,Location.AWAY,SAN_ANTONIO_SPURS,26,8,870,4,7,0,0,0,0,2,2,1,2,1,1,8.7
8,2017-01-14,zubaciv01,Ivica Zubac,863,[<Position.CENTER: 'CENTER'>],2.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,152,1,1,0,0,0,0,0,0,0,0,0,0,1.7
9,2017-01-15,zubaciv01,Ivica Zubac,863,[<Position.CENTER: 'CENTER'>],16.5,Location.HOME,DETROIT_PISTONS,8,4,514,2,4,0,0,0,0,1,4,1,0,2,1,5.0
