,track_id,genre,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,4f5nUYzeUioPwNbz2mGx5S,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",Jimi Hendrix,0.497,0.499,9,-12.348,0,0.056,0.0558,0.73,0.222,0.516,174.608
1,4kjJgdn53JuTLHvcedNAcl,['indie hip hop'],Phoelix,0.523,0.421,7,-12.529,1,0.133,0.609,0.000859,0.341,0.356,77.393
2,3U62bHMhP7bKAFYMkn3fNx,"['alternative r&b', 'electropop', 'etherpop', 'pop']",Alina Baraz,0.679,0.533,10,-8.454,1,0.0766,0.313,0.0336,0.171,0.521,83.502
3,44ashym52bERKclJsKt3Db,"['alternative r&b', 'indie hip hop', 'indie r&b']",Jordan Ward,0.894,0.475,11,-8.346,1,0.131,0.309,0.000138,0.111,0.571,144.202
4,2gEmgpnxseKEVRTwkSGopN,"['hip hop', 'rap']",Odd Future,0.51,0.0671,3,-12.163,0,0.0689,0.744,0.0,0.166,0.197,106.017
5,2lBSSfG1H7RJwjRjNCCq4J,"['kentucky hip hop', 'pop', 'pop rap', 'rap', 'trap']",Bryson Tiller,0.489,0.406,9,-11.44,1,0.232,0.0336,0.0,0.344,0.178,110.551
6,53Nwlr3hxsGsu9eWU5EYjq,['alternative r&b'],Giveon,0.599,0.45,7,-7.431,1,0.0519,0.166,3.29e-05,0.112,0.144,157.969
7,3FAJ6O0NOHQV8Mc5Ri6ENp,['alternative r&b'],Giveon,0.451,0.462,0,-8.962,1,0.0782,0.527,0.0,0.303,0.533,89.174
8,4SCnCPOUOUXUmCX2uHb3r7,"['kentucky hip hop', 'pop', 'pop rap', 'rap', 'trap']",Bryson Tiller,0.714,0.582,5,-7.272,0,0.0808,0.0129,0.0,0.0774,0.338,92.819
9,11XegnWeJHBDtj9IsNwngu,"['atl hip hop', 'rap', 'trap']",21 Savage,0.775,0.566,11,-6.661,1,0.283,0.0381,0.000341,0.127,0.479,160.351
10,4V9ynsDPwHtdItksqjuRu0,"['atl hip hop', 'rap', 'trap']",21 Savage,0.697,0.709,11,-6.642,0,0.298,0.041,0.000296,0.0886,0.439,155.023
11,7FtZFla3ZH6PqsAJ9MvVCM,"['atl hip hop', 'rap', 'trap']",21 Savage,0.849,0.635,7,-4.068,1,0.254,0.000608,8.44e-06,0.062,0.798,89.484
12,42Tohunwlh34o0mgxYx5iq,"['atl hip hop', 'rap', 'trap']",21 Savage,0.831,0.532,0,-5.319,0,0.301,0.0652,0.0,0.464,0.364,140.105
13,5AebNkVaY2zcdNFCqPBIV7,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",Logic,0.679,0.758,1,-3.012,1,0.14,0.291,0.0177,0.209,0.237,82.08
14,4DJ9ZxVFyv8AWdBmZnV0CN,"['alternative r&b', 'indie r&b', 'new jersey rap', 'rap']",070 Shake,0.672,0.622,4,-10.108,0,0.143,0.557,3.48e-06,0.0959,0.375,108.052
15,3yUcJwYu7fXAfqMj9krY6l,"['dance pop', 'new wave pop', 'pop rock']",Dido,0.725,0.583,1,-9.942,0,0.0424,0.3,0.000215,0.0665,0.765,79.984
16,66dQdXAbtuPdSasezCQVZE,"['boy band', 'hip hop', 'rap']",BROCKHAMPTON,0.497,0.55,8,-6.13,1,0.0257,0.847,0.049,0.119,0.542,79.955
17,4nsiKM4S8cRU3oWNiTOeWz,"['alternative r&b', 'edm', 'electropop', 'indie r&b', 'indie soul', 'tropical house', 'vapor soul', 'vapor twitch']",BAYNK,0.763,0.577,6,-10.127,1,0.167,0.161,0.00362,0.225,0.569,116.982
18,2jzNzQibsiVIBPTeJsifby,"['alternative r&b', 'indie r&b', 'oc indie']",Rae Khalil,0.677,0.639,1,-8.506,1,0.168,0.214,4.08e-06,0.183,0.663,95.034
19,75ZoDBdTAO9e896PtMsbnG,"['indie r&b', 'indie soul', 'vapor soul']",Mk.gee,0.809,0.656,5,-6.67,1,0.297,0.524,0.00455,0.075,0.786,88.934
20,10nbIPV2SRLqEjIpvS8CVb,"['hip hop', 'rap', 'underground hip hop']",Beast Coast,0.768,0.648,11,-6.042,0,0.188,0.045,2.9e-05,0.113,0.358,97.013
21,1LErJ8H8vJK9uJi66zlvbw,"['hawaiian hip hop', 'pop', 'rap']",Russ,0.823,0.556,5,-5.883,0,0.118,0.34,0.00121,0.084,0.879,142.0
22,5ovaAL9Xo7FRPRU3QZv8eS,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",The Isley Brothers,0.571,0.537,9,-10.0,1,0.127,0.306,0.139,0.0923,0.401,164.265
23,29GyG0MJIyRfbRv5nSZ9is,"['alternative r&b', 'indie r&b']",Mariah the Scientist,0.53,0.684,5,-5.554,0,0.043,0.00026,7.08e-05,0.166,0.344,159.852
24,2gAGWaK4wvt2xrFUlR4mK8,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",A$AP Rocky,0.284,0.803,2,-5.293,0,0.173,0.302,0.0,0.242,0.553,67.536
25,13QU8HBEBaSTZGq1HzQe9S,"['rap', 'trap']",Don Toliver,0.584,0.306,9,-8.401,0,0.0271,0.52,0.0,0.12,0.096,70.022
26,0LqZuRAroDVnV6LjDUGap1,['leeds indie'],Far Caspian,0.661,0.657,4,-9.667,1,0.0253,0.0758,0.666,0.105,0.776,101.018
27,6L1yA61015sIz9Vd02gGHZ,[],CHIKA,0.627,0.662,2,-4.592,0,0.0464,0.211,1.85e-06,0.38,0.505,144.002
28,3KM0368RZYg0MPr0wHDeqS,"['trap soul', 'vapor trap']",Dwn2earth,0.603,0.581,0,-10.667,1,0.0648,0.469,0.00142,0.11,0.163,125.998
29,5yPrF4nP6JoaXV8TIjndPc,"['escape room', 'indie soul', 'lgbtq+ hip hop']",KAYTRANADA,0.787,0.805,9,-6.294,1,0.409,0.0589,1.61e-06,0.192,0.769,104.862
30,5JWPUEov2wlX7c0jhYZpeB,"['australian psych', 'neo-psychedelic']",Tame Impala,0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059
31,63wx9vdskaXbYxyDx4oJCZ,"['alternative r&b', 'pop', 'r&b', 'urban contemporary']",Jhené Aiko,0.617,0.525,8,-10.426,0,0.12,0.554,1.1e-06,0.135,0.377,135.781
32,5Ir1R58vIXvEh03RDVuYgn,[],Hudi,0.818,0.432,11,-10.764,1,0.0563,0.728,0.395,0.104,0.578,114.031
33,2Im64pIz6m0EJKdUe6eZ8r,"['chicago rap', 'hip hop', 'rap']",Kanye West,0.608,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072
34,1UGD3lW3tDmgZfAVDh6w7r,"['chicago rap', 'hip hop', 'rap']",Kanye West,0.435,0.76,8,-4.935,0,0.0721,0.0175,0.0,0.158,0.206,80.082
35,7Bar1kLTmsRmH6FCKKMEyU,"['pop', 'pop rap', 'rap']",SZA,0.679,0.516,0,-6.371,0,0.0452,0.199,0.0,0.0965,0.716,120.074
